haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
H16h_16311	12958.9	10943.9	14995.8	12.9589	10.9439	14.9958	0	ancestor_only	NA	
H16i		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16i1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16i2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16j		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16k		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16k1		2736.0			2.7360	NA	0	single_child_interpolation	NA	
H16k1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16l		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16l1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16m		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16m1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16m1_146	12958.9	10943.9	14995.8	12.9589	10.9439	14.9958	0	ancestor_only	NA	
H16m1a		0.0			0.0000	NA	0	single_child_interpolation	NA	
H16m1a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16m2		0.0			0.0000	NA	0	single_child_interpolation	NA	
H16m2_11914	12958.9	10943.9	14995.8	12.9589	10.9439	14.9958	0	ancestor_only	NA	
H16n		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16o		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16p		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16p1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16q		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16r		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16s		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16s1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16t		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16t1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16u		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16v		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16w		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16x		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16x1		2736.0			2.7360	NA	0	single_child_interpolation	NA	
H16x1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16y		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H16z		5471.9			5.4719	NA	0	single_child_interpolation	NA	
H16z1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17	8318.0	6503.6	10152.1	8.318	6.5036	10.1521	19	rho_direct	NA	
H172		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
"H172""507"		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
"H172""507^"		0.0			0.0000	NA	0	single_child_interpolation	NA	
"H172""610"		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
"H172""610^"		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
"H172""610^^"		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172_610_16192	16278.5	16010.0	16547.4	16.2785	16.0100	16.5474	0	ancestor_only	NA	
H172a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172a1^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H172a_16192	16278.5	16010.0	16547.4	16.2785	16.0100	16.5474	0	ancestor_only	NA	
H172b		0.0			0.0000	NA	0	single_child_interpolation	NA	
H172b1		0.0			0.0000	NA	0	single_child_interpolation	NA	
H172b1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H172c2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H173		0.0			0.0000	NA	0	single_child_interpolation	NA	
H173a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H173a^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H175		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
H176b	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H176b'f	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H176c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176e1		0.0			0.0000	NA	0	single_child_interpolation	NA	
H176e1'2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176e1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176e2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H176e_16129	16278.5	16010.0	16547.4	16.2785	16.0100	16.5474	0	ancestor_only	NA	
H176f		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177a1		0.0			0.0000	NA	0	single_child_interpolation	NA	
H177a1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177a2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177c		0.0			0.0000	NA	0	single_child_interpolation	NA	
H177c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177c1^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H177c1_16311	16278.5	16010.0	16547.4	16.2785	16.0100	16.5474	0	ancestor_only	NA	
H177c1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H177c1b		0.0			0.0000	NA	0	single_child_interpolation	NA	
H177c1b1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17_9254	8318.0	6503.6	10152.1	8.318	6.5036	10.1521	0	ancestor_only	NA	
H17a	5437.6	3103.5	7806.5	5.4376	3.1035	7.8065	12	rho_direct	NA	
H17a1	6664.6	2896.7	10532.9	6.6646	2.8967	10.5329	2	single_child_interpolation	low	ci_exceeds_ancestor
H17a10		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a10^		1551.8			1.5517	NA	0	single_child_interpolation	NA	
H17a11		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a12	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H17a12'20	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
H17a13		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a14		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a15		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a16		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a17		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a18		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a19		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a1a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H17a1a'c	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17a1c	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H17a1c1	2608.2	0.0		2.6082	0.0000	NA	1	single_child_interpolation	NA	
H17a1c1a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H17a1c2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a2	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H17a20		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a21		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a21^		1551.8			1.5517	NA	0	single_child_interpolation	NA	
H17a22		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a2a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H17a2c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a2d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a3_146	5437.6	3103.5	7806.5	5.4376	3.1035	7.8065	0	ancestor_only	NA	
H17a3b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a7		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a8		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a9		1551.8			1.5517	NA	1	single_child_interpolation	NA	
H17a9a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17a_16129	5437.6	3103.5	7806.5	5.4376	3.1035	7.8065	0	ancestor_only	NA	
H17b	5216.4	0.0	15946.1	5.2164	0.0000	15.9461	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17b2	2608.2	0.0		2.6082	0.0000	NA	1	single_child_interpolation	NA	
H17b2a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H17b3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17b_150	8318.0	6503.6	10152.1	8.318	6.5036	10.1521	0	ancestor_only	NA	
H17c	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H17c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17c2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17c3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17d	4159.0	3251.8		4.159	3.2518	NA	1	single_child_interpolation	NA	
H17d1		1625.9			1.6259	NA	1	single_child_interpolation	NA	
H17d1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17e^		3251.8			3.2518	NA	0	single_child_interpolation	NA	
H17f		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17g		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17g1		0.0			0.0000	NA	0	single_child_interpolation	NA	
H17g1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17g_16519	8318.0	6503.6	10152.1	8.318	6.5036	10.1521	0	ancestor_only	NA	
H17h	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H17i	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17i1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17i2	0.0	0.0	0.0	0.0	0.0000	0.0000	3	rho_fallback_no_desc	NA	
H17i2^	3945.8	3945.8	3945.8	3.9459	3.9459	3.9459	3	single_child_interpolation	NA	
H17j		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17j2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17j3		0.0			0.0000	NA	0	single_child_interpolation	NA	
H17j3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17j4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17k		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17l		3251.8			3.2518	NA	0	single_child_interpolation	NA	
H17l1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17m		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17n		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17o		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17p		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17q		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17r		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17s		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17s'w'x		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17t		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17u		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17v		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17w		0.0			0.0000	NA	0	single_child_interpolation	NA	
H17w'x		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17w1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H17w1^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H17x		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18	6214.5	4528.4	7918.2	6.2145	4.5284	7.9182	8	rho_fallback_no_desc	NA	
H18'19'523	9369.2	8055.6	10692.7	9.3692	8.0556	10.6927	11	rho_direct	NA	
H180		4002.5			4.0025	NA	0	single_child_interpolation	NA	
H180^		8005.0			8.0050	NA	0	single_child_interpolation	NA	
H180b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H186		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H186'201		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H186a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H186b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H186c		0.0			0.0000	NA	0	single_child_interpolation	NA	
H186c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H189		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H189'190		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H189a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H189b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18a		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18a_152	9369.2	8055.6	10692.7	9.3692	8.0556	10.6927	0	ancestor_only	NA	
H18aa		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18aa^		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18ab		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18ac		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b	4158.6	2106.3	6238.5	4.1586	2.1063	6.2385	5	rho_fallback_no_desc	NA	
H18b1	1934.8	0.0	4391.4	1.9348	0.0000	4.3914	4	rho_fallback_no_desc	NA	
H18b1_152	9369.2	8055.6	10692.7	9.3692	8.0556	10.6927	0	ancestor_only	NA	
H18b1a		0.0			0.0000	NA	0	single_child_interpolation	NA	
H18b1a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b1b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b1d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b3		1053.2			1.0532	NA	1	single_child_interpolation	NA	
H18b3a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b4		1053.2			1.0532	NA	0	single_child_interpolation	NA	
H18b4a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b7		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b8		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b9		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18b9^		1053.2			1.0532	NA	0	single_child_interpolation	NA	
H18b_207	9369.2	8055.6	10692.7	9.3692	8.0556	10.6927	0	ancestor_only	NA	
H18c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18d		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18d1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18e		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18f		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18h	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H18i	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H18k		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18l		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18l1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18l^		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18l_16519	9369.2	8055.6	10692.7	9.3692	8.0556	10.6927	0	ancestor_only	NA	
H18m		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18m1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18m1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18m1a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18m1a2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18m1b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18n		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18p		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18q		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18r		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18s		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18t		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18u		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H18u^		2264.2			2.2642	NA	0	single_child_interpolation	NA	
H18w	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H18w2	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H18w3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H19	3945.8	3945.8	3945.8	3.9459	3.9459	3.9459	3	single_child_interpolation	NA	
H19'523	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	3	rho_fallback_no_desc	NA	
H190		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H192		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H195	10024.3	7105.8		10.0243	7.1057	NA	1	single_child_interpolation	NA	
H198		8005.0			8.0050	NA	0	single_child_interpolation	NA	
H198a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H199		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H199'582	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
H19a	0.0	0.0	0.0	0.0	0.0000	0.0000	3	rho_fallback_no_desc	NA	
H1_15497	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_16239_146	9075.7	7334.7	10834.4	9.0757	7.3347	10.8344	0	ancestor_only	NA	
H1_16239_195	9075.7	7334.7	10834.4	9.0757	7.3347	10.8344	0	ancestor_only	NA	
H1_16239_93	9075.7	7334.7	10834.4	9.0757	7.3347	10.8344	0	ancestor_only	NA	
H1_16266	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_16362	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_207	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_3531	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_6367	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_7765	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1_7805	10970.5	10628.2	11313.5	10.9705	10.6282	11.3135	0	ancestor_only	NA	
H1a	10326.9	9452.4	11205.7	10.3269	9.4524	11.2057	87	rho_direct	NA	
H1a+16162	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	84	rho_direct	NA	
H1a1	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	23	rho_direct	NA	
H1a1'117	6723.1	5297.5	8161.2	6.7231	5.2975	8.1612	23	rho_direct	NA	
H1a10	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1a104		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a106		0.0			0.0000	NA	0	single_child_interpolation	NA	
"H1a106""120"		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a106^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H1a106b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a107		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a107a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a107b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a108		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a11		3396.2			3.3962	NA	0	single_child_interpolation	NA	
H1a110		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a114		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a115		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a116		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a117		2648.8			2.6488	NA	0	single_child_interpolation	NA	
H1a117a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a118	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a118_195	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a118a	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a118a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a118a1^		0.0			0.0000	NA	0	single_child_interpolation	NA	
H1a118a2		0.0			0.0000	NA	0	single_child_interpolation	NA	
H1a118a2a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a118a3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a118a4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a118a5		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a119		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a11a		1698.1			1.6981	NA	0	single_child_interpolation	NA	
H1a11a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a120		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a123		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a124		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a14		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a141		4726.2			4.7262	NA	0	single_child_interpolation	NA	
H1a141a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a142		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a143		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a144		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a145		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a146		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a147		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a148		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a149		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a14_16261	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a14_16263	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a14a		0.0			0.0000	NA	0	single_child_interpolation	NA	
H1a14a_16263	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a14b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a14c		0.0			0.0000	NA	0	single_child_interpolation	NA	
H1a14c1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a157		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a157'163	2213.3	889.2	3549.3	2.2133	0.8892	3.5493	7	rho_fallback_no_desc	NA	
H1a157'163+709		444.6			0.4446	NA	0	single_child_interpolation	NA	
H1a157_163_16311	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a157_163_709_152	7667.1	6792.3	8546.4	7.6671	6.7923	8.5464	0	ancestor_only	NA	
H1a16	3833.6	3396.2		3.8336	3.3962	NA	1	single_child_interpolation	NA	
H1a163		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a164		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a165		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a169		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a16a		1698.1			1.6981	NA	1	single_child_interpolation	NA	
H1a16a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a17		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a17a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a17b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a18		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a18^		3396.2			3.3962	NA	0	single_child_interpolation	NA	
H1a19		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
"H1a19""164"	5216.4	3832.6	6612.3	5.2164	3.8326	6.6123	8	rho_fallback_no_desc	NA	
H1a19'114'164	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a19'164	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a1_150	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1_16129	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1_16311	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1_16519	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1_207	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1a	5659.2	4064.6	7269.8	5.6592	4.0646	7.2698	6	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1a1a1	2585.4	513.0	4687.0	2.5854	0.5130	4.6870	4	rho_fallback_no_desc	NA	
H1a1a1_195	4067.0	2665.2	5481.6	4.067	2.6652	5.4816	0	ancestor_only	NA	
H1a1a1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1a1b	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1a1a1c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1a2	2829.6	2032.3		2.8296	2.0323	NA	1	single_child_interpolation	NA	
H1a1a2a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a1a3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1aa		1332.6			1.3326	NA	0	single_child_interpolation	NA	
H1a1aa1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1ab		1332.6			1.3326	NA	0	single_child_interpolation	NA	
H1a1ab1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1ac		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1ad		1332.6			1.3326	NA	0	single_child_interpolation	NA	
H1a1ad1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1ae		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1af		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1af^		1332.6			1.3326	NA	0	single_child_interpolation	NA	
H1a1ag		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1a1ah		1332.6			1.3326	NA	0	single_child_interpolation	NA	
