haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U4a1a15	1.0	2.5854			no_ci	2.5854	0.0		rho_fallback_no_desc	0.0	0.0
U4a1a15a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a15a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a15a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a15b	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1a16	0.0				no_ci		0.6694		single_child_interpolation		
U4a1a16+16189	0.0				no_ci						
U4a1a16_16189						6.4849	4.7001	8.2894	ancestor_only		
U4a1a17	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a18	0.0				no_ci		0.0		rho_fallback_no_desc		
"U4a1a18""49"	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a19	0.0				no_ci		0.0		single_child_interpolation		
U4a1a19a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a2	2.0	5.2164	-4.832	15.9461	very_low	5.2386	0.0		single_child_interpolation	0.022199999999999775	0.4255808603634647
U4a1a2'22'23'51	2.0	7.8917	-2.3374	18.7838	very_low	7.8917	0.0	18.7838	rho_fallback_no_desc	0.0	0.0
U4a1a20	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a20'21'35	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a21	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a22	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a23	0.0				no_ci		0.0		single_child_interpolation		
U4a1a23a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a24	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a25	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a25a	0.0				no_ci		0.0		single_child_interpolation		
U4a1a25a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a25b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a26	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a27	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a27'50	2.0	5.2164	0.1025	10.5005	very_low	5.2164	0.1025	10.5005	rho_fallback_no_desc	0.0	0.0
U4a1a27^	2.0	2.5854	-2.4381	7.7838	very_low		0.0512		single_child_interpolation		
U4a1a28	1.0	5.2164			no_ci		2.35		single_child_interpolation		
U4a1a28a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a29	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a29^	0.0				no_ci		2.35		single_child_interpolation		
U4a1a2b	1.0	2.5854			no_ci	2.6193	0.0		single_child_interpolation	0.03390000000000004	1.31120909723834
U4a1a2b1	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1a3	2.0	1.2869	-1.2245	3.8427	very_low	1.9477	0.6694		single_child_interpolation	0.6608	51.34820110342685
U4a1a3'16'17	2.0	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
U4a1a30	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a30a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a30b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a31	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a32	0.0				no_ci		2.35		single_child_interpolation		
U4a1a32a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a33	0.0				no_ci		2.35		single_child_interpolation		
U4a1a33a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a34	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a35	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a36	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a37	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1a39	1.0	2.5854			no_ci	3.2424	2.35		single_child_interpolation	0.657	25.411928521698773
U4a1a39b	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1a39b1	0.0				no_ci		0.0		rho_fallback_no_desc		
