sample_id	haplogroup
111-1895-0330	D4a7^
111-1895-0576	D6c
111-1895-0828	D5a2a1+16266
111-1895-1658	C7a1c
111-1895-2099	A10b
111-1895-2235	A25
111-1895-3140	B4a1
111-1895-3591	F2f1
111-1895-4369	D4l2b
111-1895-4482	C7a
111-1895-4543	G2a101d"
111-1895-5564	D5a2a
111-1895-5731	D5c1b
111-1895-5861	B4b1a2
111-1895-6509	F1c1a2a
111-1895-6523	B4a2b1
111-1895-7223	D5c1a3
111-1895-7438	A14n
111-1895-7452	R11b4
111-1895-7506	B4h1b
111-1895-7568	Z4a1a
111-1895-7643	T2b+14110
111-1895-7674	F4a2b4
111-1895-7704	F3a1
111-1895-8022	Z3f
111-1895-8411	Y2
111-1895-9746	G3a1a
111-1895-9852	Z3
111-1896-0209	M7b1a1a3e2
111-1896-1176	M12a1a1b
111-1896-1978	N9a1
111-1896-2975	M7b1a1c'y'z'aa
111-1896-3842	M7b1a1z
111-1896-3859	M8a2
111-1896-3903	Z3d
111-1896-4016	B4c1b2c2a3
111-1896-4139	B5b2h
111-1896-4221	Z3e3
111-1896-4290	D4g2a1
111-1896-4962	B4c1b2c
111-1896-5303	D4
111-1896-5747	N9a1d
111-1896-6270	D5b1b
111-1896-6294	B4d3'5'8
111-1896-6553	D4h1b
111-1896-7291	M7c1b2b
111-1896-8076	B4b1a2a2
111-1896-8168	F3a5a2
111-1896-8243	A5b1i'j
111-1896-8984	C5b1e1
111-1896-9028	B5b2j1
111-1896-9202	M10a1f
111-1896-9431	B5a1c
111-1896-9547	F1a3c
111-1896-9776	D4a3b2
111-1897-1397	B4k^
111-1897-2110	B5b1h
111-1897-2264	B4g1a
111-1897-2776	F1a1
111-1897-2806	D4j15h
111-1897-3063	B4a4g
111-1897-3155	M8b
111-1897-3216	A22
111-1897-3261	D4e1f^
111-1897-3414	M8b
111-1897-3421	D5b6
111-1897-3766	D4
111-1897-4121	F1a1d
111-1897-4411	D4b1a3a
111-1897-4800	C4a2
111-1897-5111	B4d1a1
111-1897-5920	F1a1f
111-1897-6231	B5a1d^
111-1897-6347	N9a8
111-1897-6798	C7a
111-1897-6989	C7a14
111-1897-7061	D4a1
111-1897-7313	M11d
111-1897-8334	M7b1a1b
111-1897-8990	F2c1e
111-1897-9041	D4b1b2'4
111-1897-9218	H5a1t
111-1897-9775	N9a3
111-1897-9799	M10a1i
111-1897-9973	Z3e
111-1898-0511	B4p1
111-1898-1945	D4b1b2'4
111-1898-2058	D4h2a
111-1898-2065	N9a3d
111-1898-2157	Z3d
111-1898-2324	B4d1f'g
111-1898-3192	A39'50
111-1898-3246	F2a6
111-1898-4298	F1a1d
111-1898-4526	D4a
111-1898-5363	B4a10
111-1898-5738	M7b1a2a3
111-1898-5868	F1b1h1
111-1898-6681	D4b2b+194
111-1898-7183	M7b1a1ai^
111-1898-8746	D4b1a2a1
111-1898-9071	F2c2^^
111-1898-9460	D4e1a2'3
111-1898-9927	B5b2a
111-1899-0596	G3a2
111-1899-1623	C5a1
111-1899-1739	D4a
111-1899-1852	F1a1c4
111-1899-1883	F1b1b'i
111-1899-2026	B4h8
111-1899-2248	Z4a
111-1899-2262	Z3f
111-1899-2507	M7b1a1k
111-1899-2644	M7b1a1g
111-1899-2842	D4e1
111-1899-3375	B5b1a2^
111-1899-3696	D5c2
111-1899-4044	M7b1a1g
111-1899-4204	G2g
111-1899-4211	M7b1a1y
111-1899-4389	B4a7a
111-1899-4693	G3a1^
111-1899-4723	F2c2^^
111-1899-5010	B4c1c5a
111-1899-5393	Y1b1
111-1899-5690	R11a3
111-1899-5775	A15a6^
111-1899-5874	D4w1
111-1899-6925	F2i
111-1899-7519	Z3c2
111-1899-7939	Y1c1
111-1899-8646	C7a
111-1899-9285	B4a1c5b
111-1899-9414	F1a1n1
111-1899-9759	M11a2b1
111-1900-0058	D4a
111-1900-0218	M7b1a1f
111-1900-0607	F3a1b1
111-1900-0843	D5a2a
111-1900-1123	N9a3
111-1900-1833	F1a1
111-1900-2151	B4h1b
111-1900-3097	D4j15g
111-1900-3530	D5a2a
111-1900-5169	D4j17
111-1900-5299	F1a1c2^
111-1900-5718	F1b1b'i
