Category	Group	Score Component	Time Window	Window Start (Years)	Score
Panxi and Liangshan	Sichuan Region	Change Component	15000-15500 Years	15000	-1.37655
Panxi and Liangshan	Sichuan Region	Change Component	15500-16000 Years	15500	-0.673
Panxi and Liangshan	Sichuan Region	Change Component	16000-16500 Years	16000	-0.70468
Panxi and Liangshan	Sichuan Region	Change Component	16500-17000 Years	16500	-0.80222
Panxi and Liangshan	Sichuan Region	Change Component	17000-17500 Years	17000	-0.49416
Panxi and Liangshan	Sichuan Region	Change Component	17500-18000 Years	17500	-0.54501
Panxi and Liangshan	Sichuan Region	Change Component	18000-18500 Years	18000	-0.52555
Qinghai-Tibet Plateau Core	Highland	Change Component	0-500 Years	0	0.38691
Qinghai-Tibet Plateau Core	Highland	Change Component	500-1000 Years	500	0.14101
Qinghai-Tibet Plateau Core	Highland	Change Component	1000-1500 Years	1000	-0.73251
Qinghai-Tibet Plateau Core	Highland	Change Component	1500-2000 Years	1500	-0.07371
Qinghai-Tibet Plateau Core	Highland	Change Component	2000-2500 Years	2000	0.92352
Qinghai-Tibet Plateau Core	Highland	Change Component	2500-3000 Years	2500	0.27384
Qinghai-Tibet Plateau Core	Highland	Change Component	3000-3500 Years	3000	-0.25232
Qinghai-Tibet Plateau Core	Highland	Change Component	3500-4000 Years	3500	0.04402
Qinghai-Tibet Plateau Core	Highland	Change Component	4000-4500 Years	4000	0.02142
Qinghai-Tibet Plateau Core	Highland	Change Component	4500-5000 Years	4500	-0.73301
Qinghai-Tibet Plateau Core	Highland	Change Component	5000-5500 Years	5000	-0.63303
Qinghai-Tibet Plateau Core	Highland	Change Component	5500-6000 Years	5500	-0.26901
Qinghai-Tibet Plateau Core	Highland	Change Component	6000-6500 Years	6000	-0.23246
Qinghai-Tibet Plateau Core	Highland	Change Component	6500-7000 Years	6500	-0.8994
Qinghai-Tibet Plateau Core	Highland	Change Component	7000-7500 Years	7000	-0.61127
Qinghai-Tibet Plateau Core	Highland	Change Component	7500-8000 Years	7500	0.06266
Qinghai-Tibet Plateau Core	Highland	Change Component	8000-8500 Years	8000	-0.92427
Qinghai-Tibet Plateau Core	Highland	Change Component	8500-9000 Years	8500	0.82341
Qinghai-Tibet Plateau Core	Highland	Change Component	9000-9500 Years	9000	0.48745
Qinghai-Tibet Plateau Core	Highland	Change Component	9500-10000 Years	9500	-1.03758
Qinghai-Tibet Plateau Core	Highland	Change Component	10000-10500 Years	10000	-0.69577
Qinghai-Tibet Plateau Core	Highland	Change Component	10500-11000 Years	10500	-0.95869
Qinghai-Tibet Plateau Core	Highland	Change Component	11000-11500 Years	11000	0.28963
Qinghai-Tibet Plateau Core	Highland	Change Component	11500-12000 Years	11500	0.00396
Qinghai-Tibet Plateau Core	Highland	Change Component	12000-12500 Years	12000	-0.32938
Qinghai-Tibet Plateau Core	Highland	Change Component	12500-13000 Years	12500	0.63059
Qinghai-Tibet Plateau Core	Highland	Change Component	13000-13500 Years	13000	0.52636
Qinghai-Tibet Plateau Core	Highland	Change Component	13500-14000 Years	13500	0.18751
Qinghai-Tibet Plateau Core	Highland	Change Component	14000-14500 Years	14000	-0.1928
Qinghai-Tibet Plateau Core	Highland	Change Component	14500-15000 Years	14500	8.2e-4
Qinghai-Tibet Plateau Core	Highland	Change Component	15000-15500 Years	15000	0.12058
Qinghai-Tibet Plateau Core	Highland	Change Component	15500-16000 Years	15500	0.14248
Qinghai-Tibet Plateau Core	Highland	Change Component	16000-16500 Years	16000	0.02245
Qinghai-Tibet Plateau Core	Highland	Change Component	16500-17000 Years	16500	-0.35431
Qinghai-Tibet Plateau Core	Highland	Change Component	17000-17500 Years	17000	-0.60507
Qinghai-Tibet Plateau Core	Highland	Change Component	17500-18000 Years	17500	-0.72452
Qinghai-Tibet Plateau Core	Highland	Change Component	18000-18500 Years	18000	-1.11385
