Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	-0.05513	-0.23359	0.17118	0.365	An expansion occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	0.955	A contraction occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-0.27625	-0.62805	0.01419	0.955	A contraction occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	12.96824	12.32793	13.75802			1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	-0.37729	-0.62469	-0.18633	0.000	Net increase over the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Mean Rate of Change	-0.00094	-0.00156	-0.00047	0.000	Positive mean rate of change	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Fluctuation Amplitude	0.37729	0.18633	0.62469			1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Time of Maximum Expansion	1000.00000	1000.00000	1000.00000	0.025	An expansion occurs within the window	1.000	Yes	Yes
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Maximum Expansion Rate	-0.22567	-0.51644	-0.03920	0.025	An expansion occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Time of Maximum Contraction	600.00000	600.00000	600.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Sichuan Basin	Sichuan Region	Time Period	500-1000 Years	500	1000	Maximum Contraction Rate	-1.86748	-2.94033	-1.12325	1.000	A contraction occurs within the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	11.50469	11.14747	11.85898			1.000	Yes	
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	-0.25910	-0.38469	-0.16198	0.000	Net increase over the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Rate of Change	-0.00065	-0.00096	-0.00040	0.000	Positive mean rate of change	1.000	Yes	
