Category	Group	Time Window	Window Start (Years)	Feature	Median
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Net Change in Log Effective Population Size	0.07192
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Mean Rate of Change	1.8e-4
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Fluctuation Amplitude	0.0722
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Time of Maximum Expansion	1400
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Maximum Expansion Rate	0.24922
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Time of Maximum Contraction	1000
Panxi and Liangshan	Sichuan Region	1000-1500 Years	1000	Maximum Contraction Rate	0.12003
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Mean Log Effective Population Size	10.16649
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Net Change in Log Effective Population Size	-0.02863
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Mean Rate of Change	-7e-5
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Fluctuation Amplitude	0.04158
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Time of Maximum Expansion	1400
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Maximum Expansion Rate	0.24967
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Time of Maximum Contraction	1000
Qinghai-Tibet Plateau Core	Highland	1000-1500 Years	1000	Maximum Contraction Rate	-0.05513
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Mean Log Effective Population Size	12.9984
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Net Change in Log Effective Population Size	0.31766
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Mean Rate of Change	7.9e-4
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Fluctuation Amplitude	0.31766
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Time of Maximum Expansion	1400
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Maximum Expansion Rate	1.49663
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Time of Maximum Contraction	1000
Sichuan Basin	Sichuan Region	1000-1500 Years	1000	Maximum Contraction Rate	-0.22567
Southern Segment	Corridor Segment	1000-1500 Years	1000	Mean Log Effective Population Size	11.54572
Southern Segment	Corridor Segment	1000-1500 Years	1000	Net Change in Log Effective Population Size	0.21525
Southern Segment	Corridor Segment	1000-1500 Years	1000	Mean Rate of Change	5.4e-4
Southern Segment	Corridor Segment	1000-1500 Years	1000	Fluctuation Amplitude	0.21525
Southern Segment	Corridor Segment	1000-1500 Years	1000	Time of Maximum Expansion	1400
Southern Segment	Corridor Segment	1000-1500 Years	1000	Maximum Expansion Rate	0.86228
Southern Segment	Corridor Segment	1000-1500 Years	1000	Time of Maximum Contraction	1000
Southern Segment	Corridor Segment	1000-1500 Years	1000	Maximum Contraction Rate	-0.21266
Western Highland	Highland	1000-1500 Years	1000	Mean Log Effective Population Size	9.96162
Western Highland	Highland	1000-1500 Years	1000	Net Change in Log Effective Population Size	-0.00258
Western Highland	Highland	1000-1500 Years	1000	Mean Rate of Change	-1e-5
Western Highland	Highland	1000-1500 Years	1000	Fluctuation Amplitude	0.03863
Western Highland	Highland	1000-1500 Years	1000	Time of Maximum Expansion	1400
Western Highland	Highland	1000-1500 Years	1000	Maximum Expansion Rate	0.27635
Western Highland	Highland	1000-1500 Years	1000	Time of Maximum Contraction	1000
Western Highland	Highland	1000-1500 Years	1000	Maximum Contraction Rate	-0.00101
Central Segment	Corridor Segment	1500-2000 Years	1500	Mean Log Effective Population Size	9.77391
Central Segment	Corridor Segment	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.13707
Central Segment	Corridor Segment	1500-2000 Years	1500	Mean Rate of Change	3.4e-4
Central Segment	Corridor Segment	1500-2000 Years	1500	Fluctuation Amplitude	0.13707
Central Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Expansion	1600
Central Segment	Corridor Segment	1500-2000 Years	1500	Maximum Expansion Rate	0.42242
Central Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Contraction	2000
Central Segment	Corridor Segment	1500-2000 Years	1500	Maximum Contraction Rate	0.1537
North China	Northern Lowland	1500-2000 Years	1500	Mean Log Effective Population Size	11.47571
North China	Northern Lowland	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.04799
North China	Northern Lowland	1500-2000 Years	1500	Mean Rate of Change	1.2e-4
North China	Northern Lowland	1500-2000 Years	1500	Fluctuation Amplitude	0.10046
North China	Northern Lowland	1500-2000 Years	1500	Time of Maximum Expansion	2000
North China	Northern Lowland	1500-2000 Years	1500	Maximum Expansion Rate	0.2559
North China	Northern Lowland	1500-2000 Years	1500	Time of Maximum Contraction	1700
North China	Northern Lowland	1500-2000 Years	1500	Maximum Contraction Rate	0.15122
Northern Segment	Corridor Segment	1500-2000 Years	1500	Mean Log Effective Population Size	11.30272
Northern Segment	Corridor Segment	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.27242
Northern Segment	Corridor Segment	1500-2000 Years	1500	Mean Rate of Change	6.8e-4
Northern Segment	Corridor Segment	1500-2000 Years	1500	Fluctuation Amplitude	0.27242
Northern Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Expansion	2000
Northern Segment	Corridor Segment	1500-2000 Years	1500	Maximum Expansion Rate	0.55033
Northern Segment	Corridor Segment	1500-2000 Years	1500	Time of Maximum Contraction	1600
Northern Segment	Corridor Segment	1500-2000 Years	1500	Maximum Contraction Rate	0.25457
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Mean Log Effective Population Size	9.41891
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.15689
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Mean Rate of Change	3.9e-4
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Fluctuation Amplitude	0.15749
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Time of Maximum Expansion	1600
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Maximum Expansion Rate	0.2803
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Time of Maximum Contraction	2000
Panxi and Liangshan	Sichuan Region	1500-2000 Years	1500	Maximum Contraction Rate	0.24922
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Mean Log Effective Population Size	9.92741
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Net Change in Log Effective Population Size	0.30528
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Mean Rate of Change	7.6e-4
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Fluctuation Amplitude	0.30528
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Time of Maximum Expansion	2000
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Maximum Expansion Rate	0.62122
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Time of Maximum Contraction	1600
Qinghai-Tibet Plateau Core	Highland	1500-2000 Years	1500	Maximum Contraction Rate	0.41984
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Mean Log Effective Population Size	11.50244
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Net Change in Log Effective Population Size	1.04445
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Mean Rate of Change	0.00261
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Fluctuation Amplitude	1.04445
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Time of Maximum Expansion	1600
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Maximum Expansion Rate	1.79021
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Time of Maximum Contraction	2000
Sichuan Basin	Sichuan Region	1500-2000 Years	1500	Maximum Contraction Rate	1.19535
