Quantity	Window Type	Time Window	Window Start (Years)	Category	Second Category	Group	Cluster	Component	Score Component	Value	Reliable Window Coverage	Usable
Node Size	Time Period	500-1000 Years	500	Western Highland		Highland	Cluster 1			9.93854		Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Southern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	North China	Corridor Segment				0.5520		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Northern Segment	Corridor Segment				0.7760		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Panxi and Liangshan	Corridor Segment				0.7920		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8020		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Sichuan Basin	Corridor Segment				0.4680		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Southern Segment	Corridor Segment				0.6760		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Western Highland	Corridor Segment				0.8000		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Northern Segment	Northern Lowland				0.7200		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Panxi and Liangshan	Northern Lowland				0.6840		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.7420		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Sichuan Basin	Northern Lowland				0.1040		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Southern Segment	Northern Lowland				0.3520		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	North China	Western Highland	Northern Lowland				0.7400		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.9160		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.9740		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Northern Segment	Sichuan Basin	Corridor Segment				0.3160		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Northern Segment	Southern Segment	Corridor Segment				0.5640		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Northern Segment	Western Highland	Corridor Segment				0.9720		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.9420		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.3360		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Panxi and Liangshan	Southern Segment	Sichuan Region				0.5800		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Panxi and Liangshan	Western Highland	Sichuan Region				0.9400		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.3420		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.5900		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.9980		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Sichuan Basin	Southern Segment	Sichuan Region				0.7520		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Sichuan Basin	Western Highland	Sichuan Region				0.3400		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Southern Segment	Western Highland	Corridor Segment				0.5880		Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Central Segment		Corridor Segment	Cluster 1	Component 1		0.85994	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Central Segment		Corridor Segment	Cluster 1	Component 2		2.37898	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	North China		Northern Lowland	Cluster 1	Component 1		-0.54426	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	North China		Northern Lowland	Cluster 1	Component 2		0.15995	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Northern Segment		Corridor Segment	Cluster 1	Component 1		-1.69896	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Northern Segment		Corridor Segment	Cluster 1	Component 2		-2.19205	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.21463	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		1.06986	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-1.73423	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-0.22705	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Sichuan Basin		Sichuan Region	Cluster 2	Component 1		4.14870	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Sichuan Basin		Sichuan Region	Cluster 2	Component 2		-0.86423	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Southern Segment		Corridor Segment	Cluster 2	Component 1		1.83119	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Southern Segment		Corridor Segment	Cluster 2	Component 2		-0.49671	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Western Highland		Highland	Cluster 1	Component 1		-1.64775	1.000	Yes
Scatter Coordinate	Time Period	1000-1500 Years	1000	Western Highland		Highland	Cluster 1	Component 2		0.17125	1.000	Yes
Explained Variance	Time Period	1000-1500 Years	1000					Component 1		0.66011		
Explained Variance	Time Period	1000-1500 Years	1000					Component 2		0.26478		
Node Size	Time Period	1000-1500 Years	1000	Central Segment		Corridor Segment	Cluster 1			10.08833		Yes
Node Size	Time Period	1000-1500 Years	1000	North China		Northern Lowland	Cluster 1			11.56134		Yes
Node Size	Time Period	1000-1500 Years	1000	Northern Segment		Corridor Segment	Cluster 1			11.40562		Yes
Node Size	Time Period	1000-1500 Years	1000	Panxi and Liangshan		Sichuan Region	Cluster 1			9.61966		Yes
Node Size	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core		Highland	Cluster 1			10.16649		Yes
Node Size	Time Period	1000-1500 Years	1000	Sichuan Basin		Sichuan Region	Cluster 2			12.99840		Yes
Node Size	Time Period	1000-1500 Years	1000	Southern Segment		Corridor Segment	Cluster 2			11.54572		Yes
Node Size	Time Period	1000-1500 Years	1000	Western Highland		Highland	Cluster 1			9.96162		Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Southern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1500-2000 Years	1500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	North China	Corridor Segment				0.9920		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Northern Segment	Corridor Segment				0.9920		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Panxi and Liangshan	Corridor Segment				0.9900		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.9920		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Sichuan Basin	Corridor Segment				0.0080		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Southern Segment	Corridor Segment				0.8680		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Central Segment	Western Highland	Corridor Segment				0.9860		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Northern Segment	Northern Lowland				0.9840		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Panxi and Liangshan	Northern Lowland				0.9820		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.9840		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Sichuan Basin	Northern Lowland				0.0000		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Southern Segment	Northern Lowland				0.8600		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	North China	Western Highland	Northern Lowland				0.9780		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.9820		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.9960		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Northern Segment	Sichuan Basin	Corridor Segment				0.0160		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Northern Segment	Southern Segment	Corridor Segment				0.8720		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Northern Segment	Western Highland	Corridor Segment				0.9900		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.9820		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.0180		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Panxi and Liangshan	Southern Segment	Sichuan Region				0.8780		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Panxi and Liangshan	Western Highland	Sichuan Region				0.9760		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.0160		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.8680		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.9900		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Sichuan Basin	Southern Segment	Sichuan Region				0.1400		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Sichuan Basin	Western Highland	Sichuan Region				0.0220		Yes
Co-clustering Frequency	Time Period	1500-2000 Years	1500	Southern Segment	Western Highland	Corridor Segment				0.8700		Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Central Segment		Corridor Segment	Cluster 1	Component 1		-1.17909	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Central Segment		Corridor Segment	Cluster 1	Component 2		-1.85607	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	North China		Northern Lowland	Cluster 1	Component 1		-1.93588	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	North China		Northern Lowland	Cluster 1	Component 2		1.14214	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Northern Segment		Corridor Segment	Cluster 1	Component 1		-0.75053	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Northern Segment		Corridor Segment	Cluster 1	Component 2		1.61663	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.19884	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-1.97756	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-0.67624	1.000	Yes
Scatter Coordinate	Time Period	1500-2000 Years	1500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		1.10740	1.000	Yes
