from	to	value	link	Time Window
Central Segment	Northern Segment	0.89	Corridor Segment	7500-8000 Years
Central Segment	Panxi and Liangshan	0.942	Between groups	7500-8000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.91	Between groups	7500-8000 Years
Central Segment	Sichuan Basin	0.668	Between groups	7500-8000 Years
Central Segment	Western Highland	0.894	Between groups	7500-8000 Years
North China	Northern Segment	0.75	Between groups	7500-8000 Years
North China	Panxi and Liangshan	0.694	Between groups	7500-8000 Years
North China	Qinghai-Tibet Plateau Core	0.674	Between groups	7500-8000 Years
North China	Western Highland	0.626	Between groups	7500-8000 Years
Northern Segment	Panxi and Liangshan	0.864	Between groups	7500-8000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.86	Between groups	7500-8000 Years
Northern Segment	Sichuan Basin	0.606	Between groups	7500-8000 Years
Northern Segment	Western Highland	0.828	Between groups	7500-8000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.896	Between groups	7500-8000 Years
Panxi and Liangshan	Sichuan Basin	0.646	Sichuan Region	7500-8000 Years
Panxi and Liangshan	Western Highland	0.864	Between groups	7500-8000 Years
Qinghai-Tibet Plateau Core	Sichuan Basin	0.638	Between groups	7500-8000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.856	Highland	7500-8000 Years
Sichuan Basin	Southern Segment	0.56	Between groups	7500-8000 Years
Sichuan Basin	Western Highland	0.654	Between groups	7500-8000 Years
Central Segment	North China	0.71	Between groups	8000-8500 Years
Central Segment	Northern Segment	0.82	Corridor Segment	8000-8500 Years
Central Segment	Panxi and Liangshan	0.706	Between groups	8000-8500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.838	Between groups	8000-8500 Years
Central Segment	Southern Segment	0.592	Corridor Segment	8000-8500 Years
Central Segment	Western Highland	0.806	Between groups	8000-8500 Years
North China	Northern Segment	0.794	Between groups	8000-8500 Years
North China	Panxi and Liangshan	0.612	Between groups	8000-8500 Years
North China	Qinghai-Tibet Plateau Core	0.736	Between groups	8000-8500 Years
North China	Sichuan Basin	0.526	Between groups	8000-8500 Years
North China	Southern Segment	0.574	Between groups	8000-8500 Years
North China	Western Highland	0.68	Between groups	8000-8500 Years
Northern Segment	Panxi and Liangshan	0.694	Between groups	8000-8500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.854	Between groups	8000-8500 Years
Northern Segment	Sichuan Basin	0.528	Between groups	8000-8500 Years
Northern Segment	Southern Segment	0.6	Corridor Segment	8000-8500 Years
Northern Segment	Western Highland	0.806	Between groups	8000-8500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.716	Between groups	8000-8500 Years
Panxi and Liangshan	Western Highland	0.7	Between groups	8000-8500 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.578	Between groups	8000-8500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.836	Highland	8000-8500 Years
Southern Segment	Western Highland	0.526	Between groups	8000-8500 Years
Central Segment	North China	0.592	Between groups	8500-9000 Years
Central Segment	Northern Segment	0.778	Corridor Segment	8500-9000 Years
Central Segment	Panxi and Liangshan	0.836	Between groups	8500-9000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.82	Between groups	8500-9000 Years
Central Segment	Sichuan Basin	0.604	Between groups	8500-9000 Years
Central Segment	Southern Segment	0.564	Corridor Segment	8500-9000 Years
Central Segment	Western Highland	0.786	Between groups	8500-9000 Years
North China	Northern Segment	0.618	Between groups	8500-9000 Years
North China	Panxi and Liangshan	0.596	Between groups	8500-9000 Years
North China	Qinghai-Tibet Plateau Core	0.596	Between groups	8500-9000 Years
North China	Western Highland	0.59	Between groups	8500-9000 Years
Northern Segment	Panxi and Liangshan	0.79	Between groups	8500-9000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.782	Between groups	8500-9000 Years
Northern Segment	Sichuan Basin	0.626	Between groups	8500-9000 Years
Northern Segment	Southern Segment	0.586	Corridor Segment	8500-9000 Years
Northern Segment	Western Highland	0.744	Between groups	8500-9000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.84	Between groups	8500-9000 Years
Panxi and Liangshan	Sichuan Basin	0.624	Sichuan Region	8500-9000 Years
Panxi and Liangshan	Southern Segment	0.552	Between groups	8500-9000 Years
Panxi and Liangshan	Western Highland	0.786	Between groups	8500-9000 Years
Qinghai-Tibet Plateau Core	Sichuan Basin	0.624	Between groups	8500-9000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.568	Between groups	8500-9000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.782	Highland	8500-9000 Years
Sichuan Basin	Southern Segment	0.5	Between groups	8500-9000 Years
Sichuan Basin	Western Highland	0.594	Between groups	8500-9000 Years
Southern Segment	Western Highland	0.518	Between groups	8500-9000 Years
Central Segment	North China	0.942	Between groups	9000-9500 Years
Central Segment	Northern Segment	0.936	Corridor Segment	9000-9500 Years
Central Segment	Panxi and Liangshan	0.99	Between groups	9000-9500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.968	Between groups	9000-9500 Years
Central Segment	Western Highland	0.97	Between groups	9000-9500 Years
North China	Northern Segment	0.89	Between groups	9000-9500 Years
North China	Panxi and Liangshan	0.936	Between groups	9000-9500 Years
North China	Qinghai-Tibet Plateau Core	0.918	Between groups	9000-9500 Years
North China	Western Highland	0.916	Between groups	9000-9500 Years
Northern Segment	Panxi and Liangshan	0.934	Between groups	9000-9500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.924	Between groups	9000-9500 Years
Northern Segment	Western Highland	0.914	Between groups	9000-9500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.962	Between groups	9000-9500 Years
Panxi and Liangshan	Western Highland	0.964	Between groups	9000-9500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.942	Highland	9000-9500 Years
Central Segment	North China	0.816	Between groups	10000-10500 Years
Central Segment	Northern Segment	0.894	Corridor Segment	10000-10500 Years
Central Segment	Panxi and Liangshan	0.91	Between groups	10000-10500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.924	Between groups	10000-10500 Years
Central Segment	Western Highland	0.904	Between groups	10000-10500 Years
North China	Northern Segment	0.75	Between groups	10000-10500 Years
North China	Panxi and Liangshan	0.766	Between groups	10000-10500 Years
North China	Qinghai-Tibet Plateau Core	0.788	Between groups	10000-10500 Years
North China	Western Highland	0.768	Between groups	10000-10500 Years
Northern Segment	Panxi and Liangshan	0.828	Between groups	10000-10500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.894	Between groups	10000-10500 Years
Northern Segment	Western Highland	0.87	Between groups	10000-10500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.878	Between groups	10000-10500 Years
Panxi and Liangshan	Western Highland	0.854	Between groups	10000-10500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.884	Highland	10000-10500 Years
Central Segment	North China	0.638	Between groups	10500-11000 Years
Central Segment	Northern Segment	0.74	Corridor Segment	10500-11000 Years
Central Segment	Panxi and Liangshan	0.896	Between groups	10500-11000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.772	Between groups	10500-11000 Years
Central Segment	Western Highland	0.78	Between groups	10500-11000 Years
North China	Northern Segment	0.598	Between groups	10500-11000 Years
North China	Panxi and Liangshan	0.662	Between groups	10500-11000 Years
North China	Qinghai-Tibet Plateau Core	0.63	Between groups	10500-11000 Years
North China	Western Highland	0.65	Between groups	10500-11000 Years
Northern Segment	Panxi and Liangshan	0.776	Between groups	10500-11000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.728	Between groups	10500-11000 Years
Northern Segment	Western Highland	0.712	Between groups	10500-11000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.812	Between groups	10500-11000 Years
Panxi and Liangshan	Western Highland	0.808	Between groups	10500-11000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.74	Highland	10500-11000 Years
Central Segment	North China	0.814	Between groups	11000-11500 Years
Central Segment	Northern Segment	0.838	Corridor Segment	11000-11500 Years
Central Segment	Panxi and Liangshan	0.834	Between groups	11000-11500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.866	Between groups	11000-11500 Years
Central Segment	Western Highland	0.858	Between groups	11000-11500 Years
North China	Northern Segment	0.784	Between groups	11000-11500 Years
North China	Panxi and Liangshan	0.796	Between groups	11000-11500 Years
North China	Qinghai-Tibet Plateau Core	0.848	Between groups	11000-11500 Years
North China	Western Highland	0.824	Between groups	11000-11500 Years
Northern Segment	Panxi and Liangshan	0.792	Between groups	11000-11500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.856	Between groups	11000-11500 Years
Northern Segment	Western Highland	0.828	Between groups	11000-11500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.832	Between groups	11000-11500 Years
Panxi and Liangshan	Western Highland	0.836	Between groups	11000-11500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.864	Highland	11000-11500 Years
Central Segment	Northern Segment	0.662	Corridor Segment	11500-12000 Years
Central Segment	Panxi and Liangshan	0.636	Between groups	11500-12000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.672	Between groups	11500-12000 Years
Central Segment	Western Highland	0.694	Between groups	11500-12000 Years
North China	Panxi and Liangshan	0.504	Between groups	11500-12000 Years
Northern Segment	Panxi and Liangshan	0.53	Between groups	11500-12000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.626	Between groups	11500-12000 Years
Northern Segment	Western Highland	0.592	Between groups	11500-12000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.616	Between groups	11500-12000 Years
Panxi and Liangshan	Western Highland	0.606	Between groups	11500-12000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.638	Highland	11500-12000 Years
Central Segment	Northern Segment	0.542	Corridor Segment	12000-12500 Years
Central Segment	Panxi and Liangshan	0.678	Between groups	12000-12500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.576	Between groups	12000-12500 Years
Central Segment	Western Highland	0.55	Between groups	12000-12500 Years
North China	Northern Segment	0.504	Between groups	12000-12500 Years
