Haplogroup,Count
H5a1,85
H5a1a,11
H5a2,19
H5a3,15
H5a3a,11
H5b,36
H5e,18
H5e1,17
H6a,127
H6a1,120
H6a1a,63
H6a1b,56
H6a1b2,17
H6b,25
H6b2,19
H7,146
H7a,26
H7a1,21
H7b,50
H7b1,10
H7c1,12
H7d,14
H8,33
H8_C114T_T152C!,14
H8b,15
H8b1,13
H8c,12
HV,4654
HV0,385
HV0_T195C!,41
HV0a,340
HV1,63
HV12,22
HV12b,15
HV12b1,14
HV13,21
HV13b,15
HV14,25
HV14a,23
HV1a'b'c,60
HV1a1,17
HV1a1a,14
HV1b,21
HV1b_T152C!,12
HV2,41
HV2a,28
HV2a2,14
HV4,30
HV4a1,16
HV4a1_C16291T,13
HV4a1a,12
HV6,15
HV9,22
HV_A73G!,56
HV_T16311C!,127
H_C16291T,19
H_G16129A,47
H_T152C,49
H_T16189C!,16
H_T195C,131
I,224
I1,71
I1a,38
I1a1,34
I1a1a,17
I1b,15
I2,39
I3,20
I3a,10
I4,23
I4a,12
I4b,10
I5,52
I5a1,10
I5a2,25
J1,747
J1_C16193T,63
J1b,198
J1b1,126
J1b1a,73
J1b1a1,57
J1b1a1_T146C!,11
J1b1a1d,15
J1b1a3,11
J1b1b,51
J1b1b1,44
J1b2,13
J1b3,16
J1b3b,12
J1c,484
J1c1,54
J1c15,11
J1c1b,30
J1c1b1,21
J1c1b1a,17
J1c2,162
J1c2b,14
J1c2c,21
J1c2c2,12
J1c2e,17
J1c3,134
J1c3h,41
J1c4,19
J1c5,28
J1c7,10
J1c8a,14
J1c_C16261T,25
J1c_C16261T_A189G,11
J1d,62
J2a1,127
J2a1a1,121
J2a1a1a2,11
J2a1a1d,62
J2a2,33
J2a2a,10
J2b1,219
J2b1a,195
J2b1a2,27
J2b1a5,84
J2b1a_T16311C!,87
K1,565
K1_T16362C,53
K1a,388
K1a1,46
K1a11,16
K1a12,33
K1a12a,19
K1a1b,32
K1a1b1,24
K1a2,28
K1a2a,10
K1a3,27
K1a3a,15
K1a4,115
K1a4a,55
K1a4a1,51
K1a4a1a,20
K1a4a1a2,11
K1a4i,11
K1a_C150T,30
K1a_T195C!,49
K1b1,38
K1b1_T16093C,24
K1b1a1,18
K1b1c,13
K1b2a,32
K1b2a2,13
K1c1,38
K2a,71
K2a5,17
K2a5b,11
K2a9,17
K2b1,21
K2b1a,17
L0a,296
L0a1'4,125
L0a1_A16293G,68
L0a1a,53
L0a1a2,30
L0a1a_A200G,50
L0a1b1,57
L0a1b1a,55
L0a1b1a1,48
L0a2,167
L0a2a1,21
L0a2a1a,10
L0a2a2,125
L0a2a2a,123
L0d1a,19
L0d1b2b2,11
L0d1c,25
L0d1c1,14
L0d1c1a,13
L0d2a'b'd,29
L0d2a1,16
L0d2a1a,10
L0f,14
L0k1a1,11
L1b1,163
L1b1a,162
L1b1a14,12
L1b1a3,38
L1b1a3a,10
L1b1a4,16
L1b1a7,11
L1b1a_A189G,72
L1b2,22
L1b2a,13
L1c1,71
L1c1a,37
L1c1a2,18
L1c1a_T198C!,36
L1c1c,10
L1c1d,18
L1c2a1,19
L1c2a1a,15
L1c2b1a'b,15
L1c3,65
L1c3a,30
L1c3b1,13
L1c3c,19
L2'3'4'6,58509
L2a1,611
L2a1_G143A,190
L2a1_G143A_T16189C!(C16192T),22
L2a1_T16189C!(C16192T),278
L2a1a,141
L2a1a1,12
L2a1a2,86
L2a1a3,21
L2a1b,195
L2a1b1,185
L2a1b1a,179
L2a1c,80
L2a1c1,11
L2a1c3a,13
L2a1c3b,11
L2a1c5,13
L2a1c_G16129A!,15
L2a1c_T16086C,15
L2a1e,91
L2a1f,77
L2a1f1,14
L2a1f3,14
L2a1i,14
L2a1l,34
L2a1l1,14
L2a1l2,11
L2b1,43
L2b1a,35
L2b1a3,20
L2c,98
L2c1,12
L2c2,22
L2c5,17
L2d,17
L2d1,10
L2d_G16129A!,16
L2e,14
L2e1,10
L3,57616
L3a_G709A,18
L3b1,335
L3b1a,324
L3b1a1,226
L3b1a1a,224
L3b1a7,13
L3b1a7a,11
L3b1a8,21
L3b1a_C16124T!,49
L3b2,17
L3c'd,230
L3d,226
L3d1,170
L3d1'2'3'4'5'6,224
L3d1a,126
L3d1a1a,110
L3d1a1a1,47
L3d1b,31
L3d1b1,15
L3d2,15
L3d3a,12
L3d3a1,10
L3e1,193
L3e1a,112
L3e1a1a,28
L3e1a3a,69
L3e1b,16
L3e1b2,10
L3e1d,20
L3e1d1,19
L3e1e,22
L3e2a,54
L3e2a1b,29
L3e2a1b1,17
L3e2b,97
L3e2b1,20
L3e2b1a,16
L3e2b_T152C!,41
L3e3a,78
L3e3b,77
L3e3b1,46
L3e4,21
L3e4a,20
L3e4a1,10
L3e5,17
L3f,92
L3f1b,71
L3f1b1,16
L3f1b1a,14
L3f1b4a,20
L3f1b4a1,14
L3f1b_C16292T,70
L3f1b_C16292T_C150T,44
L3h1a2,10
L3h1b2,10
L3k,18
L3k1,16
L3x1,15
L4b1,16
L4b1a,15
L4b2a,23
L4b2a1,10
L4b2a2,11
L5a1,12
M,25093
M1'20'51,297
M10,549
M10a,521
M10a1,508
M10a1_G16129A,344
M10a1a,338
M10a1a1,212
M10a1a1a,45
M10a1a1b,159
M10a1a1b1,74
M10a1a1b2,13
M10a1b,120
M10a2,11
M11a,168
M11a'b,240
M11a2,76
M11b,68
M11b1,40
M11b1a,30
M11b2,19
M11c,12
M11d,13
M12,268
M12'G,2276
M12a1a,155
M12a1a1,68
M12a1b,28
M12b,75
M12b1a,39
M12b1a2,27
M12b1a2a,11
M12b1b,19
M12b2,16
M12b2a,14
M13,194
M13a1,44
M13a1b,30
M13a2,65
M13c,17
M17,59
M17a,16
M17c,42
M17c1,26
M17c1a,25
M17c1a1,22
M17c1a1a,17
M18,20
M18'38,50
M18a,13
M1a,112
M1a1,79
M1a1b,43
M1a1b1,39
M1a1b1a,26
M20,93
M21a,11
M21b,52
M21b2,15
M21b_A210G,17
M23,224
M23'75,264
M24a,27
M24b,48
M27b2,10
M2a'b,132
M2a1,78
M2a1a,58
M2a1a1,12
M2a1a2,14
M2a1a2a,13
M2a1a2a1,11
M2a1a_G207A,11
M2b,40
M2b1,12
M2b3,19
M2b3a,17
M3,174
M30,102
M30_C16234T,21
M30c,12
M30c1,11
M30d,17
M30d1,13
M32'56,156
M32c,151
M33_T16362C,69
M33a,41
M33a1,18
M33a2,13
M33a2'3,22
M33b,21
M33b1,13
M33c,47
M33d,10
M35,73
M35a,26
M35a1,20
M35b,38
M35b4,12
M35b_T16304C,25
M36,42
M36d,27
M36d1,26
M37_T152C!,12
M38,29
M39,36
M39b,25
M39b1,18
M3a1,67
M3a1_T204C,28
M3a1a,10
M3a1b,22
M3a2,29
M3c,42
M3c1b,27
M3c1b1a,21
M3c_T152C!,36
M3d,21
M3d1,16
M3d1a,14
M4,24
M4'67,312
M40,29
M40a,28
M40a1,20
M41,12
M42b1,10
M44,13
M44a,12
M45,30
M45a,15
M46,10
M49,41
M49a,16
M49a1,14
M49c,11
M4a,17
M5,178
M50,14
M51a,38
M51a1b,12
M51b,20
M51b1,12
M52a,14
M52b,11
M53,23
M53b,21
M54,15
M55,14
M59,12
M5a,132
M5a1,22
M5a1b,17
M5a2,61
