core_subtree_id	core_root_node_id	baseml_subtree_id	analysis_tree_file	core_n_tips	analysis_total_n_tips	matched_internal_edges	matched_tip_edges	replaced_core_root_edge	topology_match	merge_status	details
core_subtree_0045	NODE_022029	baseml_subtree_0045	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0045.nwk	85	1518	83	85	true	true	success	core edges replaced
core_subtree_0046	NODE_022118	baseml_subtree_0046	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0046.nwk	19	1944	17	19	true	true	success	core edges replaced
core_subtree_0047	NODE_022136	baseml_subtree_0047	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0047.nwk	1997	1998	1995	1997	true	true	success	core edges replaced
core_subtree_0048	NODE_024133	baseml_subtree_0048	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0048.nwk	589	590	587	589	true	true	success	core edges replaced
core_subtree_0049	NODE_024724	baseml_subtree_0049	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0049.nwk	1432	1433	1430	1432	true	true	success	core edges replaced
core_subtree_0050	NODE_026155	baseml_subtree_0050	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0050.nwk	604	605	602	604	true	true	success	core edges replaced
core_subtree_0051	NODE_026758	baseml_subtree_0051	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0051.nwk	538	539	536	538	true	true	success	core edges replaced
core_subtree_0052	NODE_027295	baseml_subtree_0052	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0052.nwk	819	820	817	819	true	true	success	core edges replaced
core_subtree_0053	NODE_028113	baseml_subtree_0053	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0053.nwk	508	509	506	508	true	true	success	core edges replaced
core_subtree_0054	NODE_028620	baseml_subtree_0054	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0054.nwk	432	433	430	432	true	true	success	core edges replaced
core_subtree_0055	NODE_029051	baseml_subtree_0055	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0055.nwk	194	195	192	194	true	true	success	core edges replaced
core_subtree_0056	NODE_029246	baseml_subtree_0056	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0056.nwk	1342	1343	1340	1342	true	true	success	core edges replaced
core_subtree_0057	NODE_030591	baseml_subtree_0057	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0057.nwk	609	610	607	609	true	true	success	core edges replaced
core_subtree_0058	NODE_031200	baseml_subtree_0058	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0058.nwk	90	1738	88	90	true	true	success	core edges replaced
core_subtree_0059	NODE_031290	baseml_subtree_0059	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0059.nwk	29	1999	27	29	true	true	success	core edges replaced
core_subtree_0060	NODE_031320	baseml_subtree_0060	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0060.nwk	1999	2000	1997	1999	true	true	success	core edges replaced
core_subtree_0061	NODE_033318	baseml_subtree_0061	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0061.nwk	1143	1144	1141	1143	true	true	success	core edges replaced
core_subtree_0062	NODE_034460	baseml_subtree_0062	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0062.nwk	4	1979	2	4	true	true	success	core edges replaced
core_subtree_0063	NODE_034463	baseml_subtree_0063	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0063.nwk	3	1978	1	3	true	true	success	core edges replaced
core_subtree_0064	NODE_034465	baseml_subtree_0064	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0064.nwk	76	1724	74	76	true	true	success	core edges replaced
core_subtree_0065	NODE_034540	baseml_subtree_0065	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0065.nwk	143	144	141	143	true	true	success	core edges replaced
core_subtree_0066	NODE_034682	baseml_subtree_0066	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0066.nwk	140	141	138	140	true	true	success	core edges replaced
core_subtree_0067	NODE_034821	baseml_subtree_0067	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0067.nwk	59	1984	57	59	true	true	success	core edges replaced
core_subtree_0068	NODE_034879	baseml_subtree_0068	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0068.nwk	11	1986	9	11	true	true	success	core edges replaced
core_subtree_0069	NODE_034889	baseml_subtree_0069	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0069.nwk	116	117	114	116	true	true	success	core edges replaced
core_subtree_0070	NODE_035004	baseml_subtree_0070	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0070.nwk	24	1999	22	24	true	true	success	core edges replaced
