Id	Source	Data	Haplogroup	Fasta-8M	Fasta-2.3M	Placement	Population	Province	Population_Province	City	Latitude	Longitude	Province_latitude	Province_longitude	Elevation	Elevation_source	Country	Continent	Language_family_geo	Language	Language_simplify	Tiplabel_base	Tiplabel_unique	Corridor_and_key_regions	Corridor_subregion	Corridor_NCS	Sichuan_geographic_regions	Elevation_group
HG03009	Published_1KG	Published	H1a1a4b2c1a1a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2c1a1a2	Bengali_Bangladesh_H1a1a4b2c1a1a2	Others	Others	Others	Non_Sichuan	Low
HG03600	Published_1KG	Published	H1a1a4b2c1a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2c1a2	Bengali_Bangladesh_H1a1a4b2c1a2	Others	Others	Others	Non_Sichuan	Low
HG03941	Published_1KG	Published	H1a1a4b2c2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2c2	Bengali_Bangladesh_H1a1a4b2c2_1	Others	Others	Others	Non_Sichuan	Low
HG03942	Published_1KG	Published	H1a1a4b2c2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b2c2	Bengali_Bangladesh_H1a1a4b2c2_2	Others	Others	Others	Non_Sichuan	Low
HG04161	Published_1KG	Published	H1a1a4b3b1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b3b1a1	Bengali_Bangladesh_H1a1a4b3b1a1	Others	Others	Others	Non_Sichuan	Low
HG03800	Published_1KG	Published	H1a1a4b3b1a5	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b3b1a5	Bengali_Bangladesh_H1a1a4b3b1a5	Others	Others	Others	Non_Sichuan	Low
HG04176	Published_1KG	Published	H1a1a4b3b1b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b3b1b	Bengali_Bangladesh_H1a1a4b3b1b	Others	Others	Others	Non_Sichuan	Low
HG04146	Published_1KG	Published	H1a1a4b3b1c	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1a4b3b1c	Bengali_Bangladesh_H1a1a4b3b1c	Others	Others	Others	Non_Sichuan	Low
HG03812	Published_1KG	Published	H1a1b1b1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1b1b1	Bengali_Bangladesh_H1a1b1b1	Others	Others	Others	Non_Sichuan	Low
HG04188	Published_1KG	Published	H1a1b2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a1b2	Bengali_Bangladesh_H1a1b2	Others	Others	Others	Non_Sichuan	Low
HG03594	Published_1KG	Published	H1a2b1a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a2b1a2	Bengali_Bangladesh_H1a2b1a2_1	Others	Others	Others	Non_Sichuan	Low
HG03596	Published_1KG	Published	H1a2b1a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a2b1a2	Bengali_Bangladesh_H1a2b1a2_2	Others	Others	Others	Non_Sichuan	Low
HG03809	Published_1KG	Published	H1a2b1b1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a2b1b1	Bengali_Bangladesh_H1a2b1b1	Others	Others	Others	Non_Sichuan	Low
HG04149	Published_1KG	Published	H1a2b1b2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_H1a2b1b2	Bengali_Bangladesh_H1a2b1b2	Others	Others	Others	Non_Sichuan	Low
HG03615	Published_1KG	Published	J2a1a1b1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2a1a1b1	Bengali_Bangladesh_J2a1a1b1	Others	Others	Others	Non_Sichuan	Low
HG03905	Published_1KG	Published	J2a1a1b1a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2a1a1b1a1a	Bengali_Bangladesh_J2a1a1b1a1a_1	Others	Others	Others	Non_Sichuan	Low
HG03906	Published_1KG	Published	J2a1a1b1a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2a1a1b1a1a	Bengali_Bangladesh_J2a1a1b1a1a_2	Others	Others	Others	Non_Sichuan	Low
HG03012	Published_1KG	Published	J2a1a1b1a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2a1a1b1a1a	Bengali_Bangladesh_J2a1a1b1a1a_3	Others	Others	Others	Non_Sichuan	Low
HG03806	Published_1KG	Published	J2a1a1b1a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2a1a1b1a1a	Bengali_Bangladesh_J2a1a1b1a1a_4	Others	Others	Others	Non_Sichuan	Low
HG03909	Published_1KG	Published	J2b2a2b2a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2b2a2b2a	Bengali_Bangladesh_J2b2a2b2a_1	Others	Others	Others	Non_Sichuan	Low
HG03908	Published_1KG	Published	J2b2a2b2a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_J2b2a2b2a	Bengali_Bangladesh_J2b2a2b2a_2	Others	Others	Others	Non_Sichuan	Low
HG03920	Published_1KG	Published	L1a1b3a2c	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_L1a1b3a2c	Bengali_Bangladesh_L1a1b3a2c	Others	Others	Others	Non_Sichuan	Low
HG03821	Published_1KG	Published	L1a2a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_L1a2a2	Bengali_Bangladesh_L1a2a2	Others	Others	Others	Non_Sichuan	Low
HG04140	Published_1KG	Published	O1b1a1a1b1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_O1b1a1a1b1a	Bengali_Bangladesh_O1b1a1a1b1a_1	Others	Others	Others	Non_Sichuan	Low
HG04173	Published_1KG	Published	O1b1a1a1b1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_O1b1a1a1b1a	Bengali_Bangladesh_O1b1a1a1b1a_2	Others	Others	Others	Non_Sichuan	Low
HG04134	Published_1KG	Published	O2a2b1a1a1a4a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_O2a2b1a1a1a4a	Bengali_Bangladesh_O2a2b1a1a1a4a	Others	Others	Others	Non_Sichuan	Low
HG03830	Published_1KG	Published	O2a2b1a1a1a4a2a2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_O2a2b1a1a1a4a2a2	Bengali_Bangladesh_O2a2b1a1a1a4a2a2	Others	Others	Others	Non_Sichuan	Low
HG03798	Published_1KG	Published	Q1b2a1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_Q1b2a1a1	Bengali_Bangladesh_Q1b2a1a1_1	Others	Others	Others	Non_Sichuan	Low
HG03797	Published_1KG	Published	Q1b2a1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_Q1b2a1a1	Bengali_Bangladesh_Q1b2a1a1_2	Others	Others	Others	Non_Sichuan	Low
HG03914	Published_1KG	Published	Q2b3a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_Q2b3a	Bengali_Bangladesh_Q2b3a	Others	Others	Others	Non_Sichuan	Low
HG03911	Published_1KG	Published	R1a1a1b2a1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a1	Bengali_Bangladesh_R1a1a1b2a1a1	Others	Others	Others	Non_Sichuan	Low
HG03833	Published_1KG	Published	R1a1a1b2a1a1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a1a1	Bengali_Bangladesh_R1a1a1b2a1a1a1_1	Others	Others	Others	Non_Sichuan	Low
HG03803	Published_1KG	Published	R1a1a1b2a1a1a1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a1a1	Bengali_Bangladesh_R1a1a1b2a1a1a1_2	Others	Others	Others	Non_Sichuan	Low
HG03603	Published_1KG	Published	R1a1a1b2a1a1a1b	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a1a1b	Bengali_Bangladesh_R1a1a1b2a1a1a1b	Others	Others	Others	Non_Sichuan	Low
HG03585	Published_1KG	Published	R1a1a1b2a1a1a1f	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a1a1f	Bengali_Bangladesh_R1a1a1b2a1a1a1f	Others	Others	Others	Non_Sichuan	Low
HG03606	Published_1KG	Published	R1a1a1b2a1a2c1	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a2c1	Bengali_Bangladesh_R1a1a1b2a1a2c1	Others	Others	Others	Non_Sichuan	Low
HG03902	Published_1KG	Published	R1a1a1b2a1a2c1d2	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_R1a1a1b2a1a2c1d2	Bengali_Bangladesh_R1a1a1b2a1a2c1d2	Others	Others	Others	Non_Sichuan	Low
