haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A2r1	4	3.2389	0.801	5.7167	low	3.2389	0.801	5.7167	rho_fallback_no_desc	0.0	0.0
A2s	1	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
A2t	4	10.6101	6.854	14.4468	low	10.6101	6.854	14.4468	rho_fallback_no_desc	0.0	0.0
A2u	8	19.3703	13.9846	24.8952	low	19.3703	13.9846	24.8952	rho_fallback_no_desc	0.0	0.0
A2u1	5	12.8151	7.3563	18.4378	low	12.8151	7.3563	18.4378	rho_fallback_no_desc	0.0	0.0
A2u2	2	19.0125	13.4817	24.6912	very_low	19.0125	13.4817	24.6912	rho_fallback_no_desc	0.0	0.0
A2v	15	12.0771	9.0288	15.1768	medium	13.8066	11.8746	15.7647	single_child_interpolation	1.7294999999999998	14.320490846312442
A2v1	13	10.6101	7.7183	13.5494	medium	11.0742	8.1465	14.0612	single_child_interpolation	0.4641000000000002	4.374134079791898
A2v1_T152C!!!	6	8.3418	4.4184	12.3577	low	8.3418	4.4184	12.3577	rho_fallback_no_desc	0.0	0.0
A2v1a	4	4.5544	0.7193	8.4861	low	4.5544	0.7193	8.4861	rho_fallback_no_desc	0.0	0.0
A2v1b	2	7.8917	-2.3374	18.7838	very_low	7.8917	0.0	18.7838	rho_fallback_no_desc	0.0	0.0
A2w	43	7.641	5.0281	10.2952	medium	17.4373	14.9272	19.9901	single_child_interpolation	9.7963	128.2070409632247
A2w1	10	17.8715	13.8234	22.0001	low	14.0237	12.7687	15.3001	single_child_interpolation	-3.847800000000001	21.530369582855393
A2w1a	4	10.6101	10.6101	10.6101	low	10.6101	10.6101	10.6101	rho_fallback_no_desc	0.0	0.0
A2x	3	8.7931	4.1712	13.5427	low	8.7931	4.1712	13.5427	rho_fallback_no_desc	0.0	0.0
A2y	2	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
A2z	15	2.238	0.6063	3.8879	medium	2.238	0.6063	3.8879	rho_direct	0.0	0.0
A3	13	11.455	0.7665	22.8126	medium	16.6031	12.3904	21.0098	single_child_interpolation	5.148100000000001	44.94194674814492
A30	9	7.2934	1.5246	13.2696	low	7.2934	1.5246	13.2696	rho_fallback_no_desc	0.0	0.0
A31	7	9.4398	5.4784	13.4934	low	9.4398	5.4784	13.4934	rho_fallback_no_desc	0.0	0.0
A32	8	7.2188	3.4419	11.0835	low	7.2188	3.4419	11.0835	rho_fallback_no_desc	0.0	0.0
A33	3	3.4574	1.7531	5.181	low	3.4574	1.7531	5.181	rho_fallback_no_desc	0.0	0.0
