haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
P4a	24406.8	23083.6	25737.6	24.4068	23.0836	25.7376	73	rho_direct	NA	
P4a1	19510.5	18093.0	20937.5	19.5105	18.0930	20.9375	46	rho_direct	NA	
P4a1a	3457.4	1753.1	5181.0	3.4574	1.7531	5.1810	3	rho_fallback_no_desc	NA	
P4a1b	10154.1	9375.2	10936.4	10.1541	9.3752	10.9364	18	rho_direct	NA	
P4a1c	7684.3	5954.4	9432.2	7.6843	5.9544	9.4322	13	rho_direct	NA	
P4a1d	10610.1	10610.1	10610.1	10.6101	10.6101	10.6101	3	rho_fallback_no_desc	NA	
P4a2	15233.5	13407.6	17076.5	15.2335	13.4076	17.0765	3	rho_fallback_no_desc	NA	
P4a3	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	3	rho_fallback_no_desc	NA	
P4b	45416.0	42716.7	48151.4	45.416	42.7167	48.1514	3	single_child_interpolation	NA	
P4b1	18061.2	14374.3	21814.6	18.0612	14.3743	21.8146	3	rho_fallback_no_desc	NA	
P5	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
P6		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
P7	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
P8	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
P9	34016.6	23714.8		34.0166	23.7147	NA	1	single_child_interpolation	NA	
P9a	19012.5	0.0		19.0125	0.0000	NA	1	rho_fallback_no_desc	NA	
P_C16176T	39166.0	38130.3	40205.2	39.166	38.1303	40.2052	381	rho_direct	NA	
Q	46950.7	46166.8	47736.3	46.9507	46.1668	47.7363	662	rho_direct	NA	
Q1	21788.9	21175.1	22404.5	21.7889	21.1751	22.4045	535	rho_direct	NA	
Q1'2	45881.3	45225.3	46538.6	45.8813	45.2253	46.5386	581	rho_direct	NA	
Q1_T16223C	21221.6	20365.6	22080.9	21.2216	20.3656	22.0809	272	rho_direct	NA	
Q1a	19516.9	18578.4	20459.7	19.5169	18.5784	20.4597	234	single_child_interpolation	NA	
Q1a1	17812.3	16791.2	18838.5	17.8123	16.7912	18.8385	202	rho_direct	NA	
Q1a1a	12717.3	11579.9	13861.6	12.7173	11.5799	13.8616	119	rho_direct	NA	
Q1a1a1	6548.6	5041.9	8069.2	6.5486	5.0419	8.0692	12	rho_direct	NA	
Q1a1a2	8341.8	6227.7	10482.4	8.3418	6.2277	10.4824	6	rho_fallback_no_desc	NA	
Q1a1b	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	4	rho_fallback_no_desc	NA	
Q1b	7891.7	6061.3	9742.1	7.8917	6.0613	9.7421	12	rho_direct	NA	
Q1c	11709.3	10228.1	13202.5	11.7093	10.2281	13.2025	20	rho_direct	NA	
Q1c1	8021.8	6232.9	9831.1	8.0218	6.2329	9.8311	11	single_child_interpolation	NA	
Q1c1a	4334.4	2237.6	6459.8	4.3344	2.2376	6.4598	9	rho_fallback_no_desc	NA	
Q1c2	7147.3	5114.1	10493.1	7.1473	5.1140	10.4931	4	single_child_interpolation	NA	
Q1c2a	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
Q1d	13741.6	10710.8	16821.3	13.7416	10.7108	16.8213	15	rho_direct	NA	
Q1e	17492.8	15939.9	19063.3	17.4928	15.9399	19.0633	17	single_child_interpolation	NA	
Q1e1	13196.7	10704.7	15722.1	13.1967	10.7047	15.7221	16	rho_direct	NA	
Q1e1a	8546.0	6021.7	11108.6	8.546	6.0217	11.1086	4	single_child_interpolation	NA	
Q1e1a1	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
Q1e1b	10002.3	6282.4	13802.4	10.0023	6.2824	13.8024	9	rho_fallback_no_desc	NA	
Q1e1b1	4554.4	0.0	9982.0	4.5544	0.0000	9.9820	4	rho_fallback_no_desc	NA	
Q1e1b2	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	3	rho_fallback_no_desc	NA	
Q1e1c	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
Q1f	22254.4	16401.6	28262.7	22.2544	16.4016	28.2627	8	rho_fallback_no_desc	low	ci_exceeds_ancestor
Q1f1	5216.4	0.0	12410.3	5.2164	0.0000	12.4103	4	rho_fallback_no_desc	NA	
Q1f2	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
Q1g	6357.6	4941.1	7786.4	6.3576	4.9411	7.7864	14	rho_direct	NA	
Q1h	14206.6	11172.1	17289.7	14.2066	11.1721	17.2897	10	rho_direct	NA	
Q1i	18156.2	15171.3	21184.3	18.1562	15.1713	21.1843	10	rho_direct	NA	
Q1j		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
Q1k	10610.1	8225.0	13027.4	10.6101	8.2250	13.0274	6	rho_fallback_no_desc	NA	
Q1l	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	5	rho_fallback_no_desc	NA	
Q1m	11985.1	10429.9	13553.6	11.9851	10.4299	13.5536	4	rho_fallback_no_desc	NA	
Q1n	11296.3	9953.8	12648.8	11.2963	9.9538	12.6488	4	rho_fallback_no_desc	NA	
Q1o	10610.1	10610.1	10610.1	10.6101	10.6101	10.6101	3	rho_fallback_no_desc	NA	
Q2	29381.2	27897.9	30873.1	29.3812	27.8979	30.8731	46	rho_direct	NA	
Q2a	14797.2	13388.5	16216.0	14.7972	13.3885	16.2160	45	rho_direct	NA	
Q2a1	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
Q2a2	14299.7	12725.1	15887.3	14.2997	12.7251	15.8873	9	rho_fallback_no_desc	NA	
Q2a2a	7891.7	6228.3	9571.6	7.8917	6.2283	9.5716	5	rho_fallback_no_desc	NA	
Q2a2b	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
Q2a3	13927.5	11893.0	15983.8	13.9275	11.8930	15.9838	5	rho_fallback_no_desc	NA	
Q2a3a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
Q2a3b	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
Q2a4	10006.8	6694.2	16081.0	10.0068	6.6943	16.0810	10	single_child_interpolation	NA	
Q2a4a	5216.4	0.0	15946.1	5.2164	0.0000	15.9461	3	rho_fallback_no_desc	NA	
Q2b	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
Q3	26481.2	24074.4	28911.8	26.4812	24.0744	28.9118	81	rho_direct	NA	
Q3a	20689.3	18335.3	23068.9	20.6893	18.3353	23.0689	68	single_child_interpolation	NA	
Q3a1	11507.0	9752.7	13279.2	11.507	9.7527	13.2792	22	single_child_interpolation	NA	
Q3a1a	8116.6	6909.2	9332.5	8.1166	6.9092	9.3325	12	rho_direct	NA	
Q3a2	5216.4	3107.6	7353.6	5.2164	3.1076	7.3536	4	rho_fallback_no_desc	NA	
Q3a3	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
Q3a_C61T_G62A	14897.4	12596.2	17226.0	14.8974	12.5962	17.2260	64	rho_direct	NA	
Q3b	7891.7	15.5	16154.6	7.8917	0.0155	16.1546	3	rho_fallback_no_desc	NA	
Q3c	30749.7	26921.9	34633.6	30.7497	26.9219	34.6336	8	rho_fallback_no_desc	low	ci_exceeds_ancestor
R	51701.1	51455.1	51947.2	51.7011	51.4551	51.9472	28975	rho_direct	NA	
R0	23322.2	23069.5	23575.1	23.3222	23.0695	23.5751	4297	rho_direct	NA	
R0a	21468.9	20005.7	22941.8	21.4689	20.0057	22.9418	89	rho_direct	NA	
R0a'b	30315.9	28797.5	31843.2	30.3159	28.7975	31.8432	90	rho_direct	low	ci_exceeds_ancestor
