ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
111-1913-9031	YES	0.9813	39	117	Han	Tianjin	Tianjin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9048	YES	0.9613	37	116	Han	Dezhou	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9055	YES	0.9729	36	113	Han	Zhangzhi	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9062	YES	0.8902	31	105	Han	Mianyang	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9079	YES	0.9254	21	109	Han	Beihai	Guangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9086	YES	0.9617	31	117	Han	Anqing	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9093	YES	0.9749	22	114	Han	Aomen	Macau	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9109	YES	0.9482	30	107	Li	Chongqing	Chongqing	China	Tai_Kadai	East_Asia	WHOLE	LLT_20K
111-1913-9116	YES	0.9596	28	113	Han	Xiangtan	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9123	YES	0.9318	23	113	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9130	YES	0.916	33	111	Han	Shiyan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9147	YES	0.9209	25	114	Han	Shaoguan	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9154	YES	0.9492	34	110	Han	Weinan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9161	YES	0.9462	24	115	Han	Heyuan	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9178	YES	0.9727	31	104	Han	Deyang	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9185	YES	0.9843	28	118	Han	Shangrao	Jiangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9192	YES	0.9668	35	111	Han	Yuncheng	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9208	YES	0.9447	35	111	Han	Yuncheng	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9246	YES	0.9803	36	112	Han	Linfen	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9260	YES	0.9794	23	113	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9277	YES	0.966	31	121	Han	Suzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9284	YES	0.9399	44	125	Han	Changchun	Jilin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9291	YES	0.9147	30	107	Han	Chongqing	Chongqing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9307	YES	0.9562	35	112	Han	Luoyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9314	YES	0.9612	36	120	Han	Qingdao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9338	YES	0.9681	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9345	YES	0.9496	23	114	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9376	YES	0.9488	23	113	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9390	YES	0.9637	30	121	Han	Shaoxing	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9406	YES	0.8323	23	110	Han	Yulin	Guangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9413	YES	0.9394	31	104	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9420	YES	0.9679	30	120	Han	Hangzhou	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9437	YES	0.8164	37	109	Han	Yanan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9451	YES	0.9626	31	121	Han	Jiaxing	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9468	YES	0.946	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9475	YES	0.8534	23	104	Han	Wenshan	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9505	YES	0.9574	32	120	Han	Taizhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9512	YES	0.9353	44	125	Manchu	Changchun	Jilin	China	Tungusic	East_Asia	WHOLE	LLT_20K
111-1913-9529	YES	0.9646	35	109	Han	Tongchuan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9536	YES	1	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9543	YES	0.7707	40	117	Han	Langfang	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9574	YES	0.9606	37	116	Han	Dezhou	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9598	YES	0.9308	25	104	Han	Qujing	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9611	YES	0.9771	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9635	YES	0.9009	25	103	Han	Kunming	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9666	YES	0.9907	38	113	Hui	Taiyuan	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9673	YES	0.9305	42	124	Han	Tieling	Liaoning	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9680	YES	0.9875	37	119	Han	Weifang	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9697	YES	0.9164	44	125	Han	Changchun	Jilin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9703	YES	0.7941	34	117	Han	Xuzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9710	YES	0.9645	44	125	Han	Changchun	Jilin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9741	YES	0.9551	35	120	Han	Rizhao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9765	YES	0.974	32	120	Han	Changzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9772	YES	0.87	28	118	Han	Shangrao	Jiangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9789	YES	0.9308	23	114	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9796	YES	0.967	39.9	116.3	Han			China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9802	YES	0.9562	40	118	Han	Tangshan	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9826	YES	0.9578	39	115	Han	Baoding	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9840	YES	0.9878	35	120	Han	Rizhao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9857	YES	0.9491	28	102	Yi	Liangshan	Sichuan	China	Tibeto_Burman	East_Asia	WHOLE	LLT_20K
111-1913-9871	YES	0.9101	39.9	116.3	Han			China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9918	YES	0.9129	32	117	Han	Hefei	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9932	YES	0.9691	31	121	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9949	YES	0.9007	46	127	Manchu	Haerbin	Heilongjiang	China	Tungusic	East_Asia	WHOLE	LLT_20K
111-1913-9956	YES	0.9582	36	120	Han	Qingdao	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9963	YES	0.9553	37	102	Han	Xining	Qinghai	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9970	YES	0.9551	31	104	Han	Chengdu	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9987	YES	0.8233	30	120	Han	Hangzhou	Zhejiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1913-9994	YES	0.7758	34	109	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-0006	YES	0.9164	36	114	Manchu	Anyang	Henan	China	Tungusic	East_Asia	WHOLE	LLT_20K
111-1914-0013	YES	0.8387	23	108	Zhuang	Nanning	Guangxi	China	Tai_Kadai	East_Asia	WHOLE	LLT_20K
