tip_name	owner_core_subtree_id	appearing_baseml_subtree_ids	roles
111-1931-2076	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2106	core_subtree_0050	"[""baseml_subtree_0050""]"	"[""core""]"
111-1931-2175	core_subtree_0053	"[""baseml_subtree_0053""]"	"[""core""]"
111-1931-2212	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2236	core_subtree_0018	"[""baseml_subtree_0018""]"	"[""core""]"
111-1931-2250	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-2274	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-2298	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-2342	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2359	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-2373	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1931-2427	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2434	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1931-2472	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2489	core_subtree_0042	"[""baseml_subtree_0042""]"	"[""core""]"
111-1931-2496	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-2502	core_subtree_0033	"[""baseml_subtree_0033""]"	"[""core""]"
111-1931-2601	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-2618	core_subtree_0017	"[""baseml_subtree_0017""]"	"[""core""]"
111-1931-2687	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2762	core_subtree_0052	"[""baseml_subtree_0052""]"	"[""core""]"
111-1931-2793	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2861	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-2953	core_subtree_0026	"[""baseml_subtree_0026""]"	"[""core""]"
111-1931-2960	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-2984	core_subtree_0057	"[""baseml_subtree_0057""]"	"[""core""]"
111-1931-2991	core_subtree_0051	"[""baseml_subtree_0051""]"	"[""core""]"
111-1931-3004	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3035	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-3059	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-3073	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-3080	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-3103	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-3127	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3134	core_subtree_0047	"[""baseml_subtree_0043"", ""baseml_subtree_0044"", ""baseml_subtree_0046"", ""baseml_subtree_0047"", ""baseml_subtree_0067"", ""baseml_subtree_0072"", ""baseml_subtree_0081"", ""baseml_subtree_0083"", ""baseml_subtree_0084""]"	"[""anchor"", ""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3141	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-3172	core_subtree_0052	"[""baseml_subtree_0052""]"	"[""core""]"
111-1931-3202	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-3226	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-3257	core_subtree_0052	"[""baseml_subtree_0052""]"	"[""core""]"
