baseml_subtree_id	tip_name	tip_role	source_core_subtree_id	source_node_id
baseml_subtree_0001	MG646086	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP01403	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646218	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702532	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646261	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646107	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF163008	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702006	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703745	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621634	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495102	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705757	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153132	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702867	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704294	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495139	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702501	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ658607	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324739	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621724	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703810	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703459	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703637	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495141	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646254	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ701993	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324928	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ858266	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704066	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703224	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410126	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408218	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703681	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704424	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410234	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703132	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705754	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MF523090	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MF523113	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621748	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408727	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408950	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409053	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408273	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408264	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409876	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410092	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU122977	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621814	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ794835	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409465	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409349	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409733	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409328	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621636	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409572	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409605	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410161	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409863	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409790	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409766	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409267	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409681	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409871	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408305	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409068	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409601	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702634	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704162	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703305	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KJ856732	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687283	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621637	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408240	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703170	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495144	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KP868616	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ701978	core	core_subtree_0001	NODE_000038
