original	sanitized
C4b1	C4b1
C4b1a	C4b1a
C4b1b	C4b1b
C4b2	C4b2
C4b2a	C4b2a
C4b3	C4b3
C4b3a	C4b3a
C4b3a1	C4b3a1
C4b3b	C4b3b
C4b4	C4b4
C4b5	C4b5
C4b6	C4b6
C4b7	C4b7
C4b8	C4b8
C4b8a	C4b8a
C4c	C4c
C4c1	C4c1
C4c1a	C4c1a
C4c1b	C4c1b
C4c2	C4c2
C4d	C4d
C4e	C4e
C4f	C4f
C5	C5
C5_T16093C	C5_T16093C
C5a	C5a
C5a1	C5a1
C5a2	C5a2
C5a2a	C5a2a
C5a2b	C5a2b
C5a2b1	C5a2b1
C5b	C5b
C5b1	C5b1
C5b1a	C5b1a
C5b1a1	C5b1a1
C5b1b	C5b1b
C5b1b1	C5b1b1
C5c	C5c
C5c1	C5c1
C5c1a	C5c1a
C5c_C16234T	C5c_C16234T
C5d	C5d
C5d1	C5d1
C5d1a	C5d1a
C5d2	C5d2
C5d2a	C5d2a
C6	C6
C7	C7
C7_A16051G	C7_A16051G
C7a	C7a
C7a1	C7a1
C7a1a	C7a1a
C7a1a1	C7a1a1
C7a1a2	C7a1a2
C7a1b	C7a1b
C7a1c	C7a1c
C7a1c1	C7a1c1
C7a1d	C7a1d
C7a1e	C7a1e
C7a2	C7a2
C7a2a	C7a2a
C7b	C7b
C7b1	C7b1
C7c	C7c
C7d	C7d
C7e	C7e
C7f	C7f
CZ	CZ
D	D
D1	D1
D1a	D1a
D1a1	D1a1
D1a2	D1a2
D1b	D1b
D1c	D1c
D1d	D1d
D1d1	D1d1
D1d2	D1d2
D1e	D1e
D1f	D1f
D1f1	D1f1
D1f2	D1f2
D1f3	D1f3
D1f_T16189C!	D1f_T16189C
D1g	D1g
D1g1	D1g1
D1g1a	D1g1a
D1g1b	D1g1b
D1g2	D1g2
D1g2a	D1g2a
D1g3	D1g3
D1g4	D1g4
D1g5	D1g5
D1g6	D1g6
D1g_T16189C!	D1g_T16189C
D1h	D1h
D1h1	D1h1
D1h2	D1h2
D1i	D1i
D1i1	D1i1
D1i2	D1i2
D1j	D1j
D1j1	D1j1
D1j1a	D1j1a
D1j1a1	D1j1a1
D1j1a2	D1j1a2
D1k	D1k
D1l	D1l
D1m	D1m
D1n	D1n
D1o	D1o
D1p	D1p
D2	D2
D2a	D2a
D2a'b	D2a_b
D2a1	D2a1
D2a1a	D2a1a
D2a1b	D2a1b
D2a2	D2a2
D2b	D2b
D2b1	D2b1
D2b1a	D2b1a
D2b2	D2b2
D2c	D2c
D3	D3
D4	D4
D4_T195C!	D4_T195C
D4a	D4a
D4a1	D4a1
D4a10	D4a10
D4a11	D4a11
D4a12	D4a12
D4a1a	D4a1a
D4a1a1	D4a1a1
D4a1a1a	D4a1a1a
D4a1b	D4a1b
D4a1b1	D4a1b1
D4a1c	D4a1c
D4a1d	D4a1d
D4a1e	D4a1e
D4a1e1	D4a1e1
D4a1e2	D4a1e2
D4a1f	D4a1f
D4a1f1	D4a1f1
D4a1g	D4a1g
D4a1h	D4a1h
D4a2	D4a2
D4a2a	D4a2a
D4a2b	D4a2b
D4a3	D4a3
D4a3a	D4a3a
D4a3a1	D4a3a1
D4a3a2	D4a3a2
D4a3a3	D4a3a3
D4a3b	D4a3b
D4a3b1	D4a3b1
D4a3b2	D4a3b2
D4a3b3	D4a3b3
D4a4	D4a4
D4a5	D4a5
D4a5a	D4a5a
D4a5b	D4a5b
D4a6	D4a6
D4a7	D4a7
D4a8	D4a8
D4a9	D4a9
D4a_C16294T	D4a_C16294T
D4b	D4b
D4b1	D4b1
D4b1a	D4b1a
D4b1a1	D4b1a1
D4b1a1a	D4b1a1a
D4b1a2	D4b1a2
D4b1a2a	D4b1a2a
D4b1a2a1	D4b1a2a1
D4b1a2a1a	D4b1a2a1a
D4b1a2a2	D4b1a2a2
D4b1a2a3	D4b1a2a3
D4b1a3	D4b1a3
D4b1b	D4b1b
D4b1b'd	D4b1b_d
D4b1b1	D4b1b1
D4b1b1a	D4b1b1a
D4b1b1a1	D4b1b1a1
D4b1b2	D4b1b2
D4b1b3	D4b1b3
D4b1c	D4b1c
D4b1d	D4b1d
D4b2	D4b2
D4b2a	D4b2a
D4b2a1	D4b2a1
D4b2a2	D4b2a2
D4b2a2a	D4b2a2a
D4b2a2a1	D4b2a2a1
D4b2a2a2	D4b2a2a2
D4b2a2b	D4b2a2b
D4b2b	D4b2b
D4b2b1	D4b2b1
D4b2b10	D4b2b10
D4b2b1_T146C!	D4b2b1_T146C
D4b2b1a	D4b2b1a
D4b2b1b	D4b2b1b
D4b2b1c	D4b2b1c
D4b2b1d	D4b2b1d
D4b2b2	D4b2b2
D4b2b2a	D4b2b2a
D4b2b2a1	D4b2b2a1
D4b2b2b	D4b2b2b
D4b2b2b1	D4b2b2b1
D4b2b2c	D4b2b2c
D4b2b2d	D4b2b2d
D4b2b3	D4b2b3
D4b2b4	D4b2b4
D4b2b4a	D4b2b4a
D4b2b5	D4b2b5
D4b2b6	D4b2b6
D4b2b7	D4b2b7
D4b2b8	D4b2b8
D4b2b9	D4b2b9
D4b2c	D4b2c
D4b2d	D4b2d
