Sample	Grouping	Group
HG01879	Corridor_NCS	Others
HG01879	Sichuan_geographic_regions	Non_Sichuan
HG01879	Elevation_group	Low
HG01879	Language	Other
HG02545	Corridor_and_key_regions	Others
HG02545	Corridor_NCS	Others
HG02545	Sichuan_geographic_regions	Non_Sichuan
HG02545	Elevation_group	Low
HG02545	Language	Other
HG02281	Corridor_and_key_regions	Others
HG02281	Corridor_NCS	Others
HG02281	Sichuan_geographic_regions	Non_Sichuan
HG02281	Elevation_group	Low
HG02281	Language	Other
HG02343	Corridor_and_key_regions	Others
HG02343	Corridor_NCS	Others
HG02343	Sichuan_geographic_regions	Non_Sichuan
HG02343	Elevation_group	Low
HG02343	Language	Other
HG02051	Corridor_and_key_regions	Others
HG02051	Corridor_NCS	Others
HG02051	Sichuan_geographic_regions	Non_Sichuan
HG02051	Elevation_group	Low
HG02051	Language	Other
HG02501	Corridor_and_key_regions	Others
HG02501	Corridor_NCS	Others
HG02501	Sichuan_geographic_regions	Non_Sichuan
HG02501	Elevation_group	Low
HG02501	Language	Other
HG02014	Corridor_and_key_regions	Others
HG02014	Corridor_NCS	Others
HG02014	Sichuan_geographic_regions	Non_Sichuan
HG02014	Elevation_group	Low
HG02014	Language	Other
HG01887	Corridor_and_key_regions	Others
HG01887	Corridor_NCS	Others
HG01887	Sichuan_geographic_regions	Non_Sichuan
HG01887	Elevation_group	Low
HG01887	Language	Other
HGDP01009	Corridor_and_key_regions	Others
HGDP01009	Corridor_NCS	Others
HGDP01009	Sichuan_geographic_regions	Non_Sichuan
HGDP01009	Elevation_group	Low
HGDP00843	Corridor_and_key_regions	Others
HGDP00843	Corridor_NCS	Others
HGDP00843	Sichuan_geographic_regions	Non_Sichuan
HGDP00843	Elevation_group	Low
HGDP00837	Corridor_and_key_regions	Others
HGDP00837	Corridor_NCS	Others
HGDP00837	Sichuan_geographic_regions	Non_Sichuan
HGDP00837	Elevation_group	Low
HGDP00845	Corridor_and_key_regions	Others
HGDP00845	Corridor_NCS	Others
HGDP00845	Sichuan_geographic_regions	Non_Sichuan
HGDP00845	Elevation_group	Low
HGDP00849	Corridor_and_key_regions	Others
HGDP00849	Corridor_NCS	Others
HGDP00849	Sichuan_geographic_regions	Non_Sichuan
HGDP00849	Elevation_group	Low
HGDP01019	Corridor_and_key_regions	Others
HGDP01019	Corridor_NCS	Others
HGDP01019	Sichuan_geographic_regions	Non_Sichuan
HGDP01019	Elevation_group	Low
HGDP01013	Corridor_and_key_regions	Others
HGDP01013	Corridor_NCS	Others
HGDP01013	Sichuan_geographic_regions	Non_Sichuan
HGDP01013	Elevation_group	Low
HGDP00720	Corridor_and_key_regions	MSEA
HGDP00720	Corridor_NCS	Others
HGDP00720	Sichuan_geographic_regions	Non_Sichuan
HGDP00720	Elevation_group	Low
HGDP00720	Language	Austroasiatic
HGDP00715	Corridor_and_key_regions	MSEA
HGDP00715	Corridor_NCS	Others
HGDP00715	Sichuan_geographic_regions	Non_Sichuan
HGDP00715	Elevation_group	Low
HGDP00715	Language	Austroasiatic
HGDP00714	Corridor_and_key_regions	MSEA
HGDP00714	Corridor_NCS	Others
HGDP00714	Sichuan_geographic_regions	Non_Sichuan
HGDP00714	Elevation_group	Low
HGDP00714	Language	Austroasiatic
HGDP00716	Corridor_and_key_regions	MSEA
HGDP00716	Corridor_NCS	Others
HGDP00716	Sichuan_geographic_regions	Non_Sichuan
HGDP00716	Elevation_group	Low
HGDP00716	Language	Austroasiatic
LP6005441-DNA_G02	Corridor_and_key_regions	Others
LP6005441-DNA_G02	Corridor_NCS	Others
LP6005441-DNA_G02	Sichuan_geographic_regions	Non_Sichuan
LP6005441-DNA_G02	Elevation_group	Low
LP6005441-DNA_G02	Language	Niger_Congo
LP6005441-DNA_H02	Corridor_and_key_regions	Others
LP6005441-DNA_H02	Corridor_NCS	Others
LP6005441-DNA_H02	Sichuan_geographic_regions	Non_Sichuan
LP6005441-DNA_H02	Elevation_group	Low
LP6005441-DNA_H02	Language	Niger_Congo
HGDP01092	Corridor_and_key_regions	Others
HGDP01092	Corridor_NCS	Others
HGDP01092	Sichuan_geographic_regions	Non_Sichuan
HGDP01092	Elevation_group	Low
HGDP01092	Language	Niger_Congo
HGDP00453	Corridor_and_key_regions	Others
HGDP00453	Corridor_NCS	Others
HGDP00453	Sichuan_geographic_regions	Non_Sichuan
HGDP00453	Elevation_group	Low
HGDP00453	Language	Niger_Congo
