haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
H5a1ao3	0	no_ci	no_descendants																														
H5a1aq	0	no_ci	no_descendants																														
H5a1aq1	0	no_ci	no_descendants																														
H5a1ar	0	no_ci	no_descendants																														
H5a1as	0	no_ci	no_descendants																														
H5a1as1	0	no_ci	no_descendants																														
H5a1as2	0	no_ci	no_descendants																														
H5a1at	0	no_ci	no_descendants																														
H5a1at+150	0	no_ci	no_descendants																														
H5a1at1	0	no_ci	no_descendants																														
H5a1au1	0	no_ci	no_descendants																														
H5a1au2	0	no_ci	no_descendants																														
H5a1ax	0	no_ci	no_descendants																														
H5a1ax+16192	0	no_ci	no_descendants																														
H5a1ax1	0	no_ci	no_descendants																														
H5a1ay	0	no_ci	no_descendants																														
H5a1b+16362	0	no_ci	no_descendants																														
H5a1b+16519	0	no_ci	no_descendants																														
H5a1b1	0	no_ci	no_descendants																														
H5a1b4	0	no_ci	no_descendants																														
H5a1b5	0	no_ci	no_descendants																														
H5a1ba	0	no_ci	no_descendants																														
H5a1bb	0	no_ci	no_descendants																														
H5a1bd	0	no_ci	no_descendants																														
H5a1bd1	0	no_ci	no_descendants																														
H5a1bd1a	0	no_ci	no_descendants																														
H5a1bg	0	no_ci	no_descendants																														
H5a1bh	0	no_ci	no_descendants																														
H5a1bi	0	no_ci	no_descendants																														
H5a1bj	0	no_ci	no_descendants																														
H5a1bj+195	0	no_ci	no_descendants																														
H5a1bj^	0	no_ci	no_descendants																														
H5a1bl	0	no_ci	no_descendants																														
H5a1bl1	0	no_ci	no_descendants																														
H5a1bl1+93	0	no_ci	no_descendants																														
H5a1bl2	0	no_ci	no_descendants																														
H5a1bm	0	no_ci	no_descendants																														
H5a1bn	0	no_ci	no_descendants																														
H5a1bp	0	no_ci	no_descendants																														
H5a1bq	0	no_ci	no_descendants																														
H5a1bq1	0	no_ci	no_descendants																														
H5a1bq2	0	no_ci	no_descendants																														
H5a1br	0	no_ci	no_descendants																														
H5a1bs	0	no_ci	no_descendants																														
"H5a1bs""eh"	0	no_ci	no_descendants																														
"H5a1bs""eh+16519"	0	no_ci	no_descendants																														
H5a1bs1	0	no_ci	no_descendants																														
H5a1bu	0	no_ci	no_descendants																														
H5a1bu1	0	no_ci	no_descendants																														
H5a1bu^	0	no_ci	no_descendants																														
H5a1bw	0	no_ci	no_descendants																														
H5a1bw1	0	no_ci	no_descendants																														
H5a1bw1+16519	0	no_ci	no_descendants																														
H5a1bw1a	0	no_ci	no_descendants																														
H5a1by	0	no_ci	no_descendants																														
H5a1bz	0	no_ci	no_descendants																														
H5a1c1a+152	0	no_ci	no_descendants																														
H5a1c1a+16189	0	no_ci	no_descendants																														
H5a1c1a11	0	no_ci	no_descendants																														
H5a1c1a12	0	no_ci	no_descendants																														
H5a1c1a12a	0	no_ci	no_descendants																														
H5a1c1a3	0	no_ci	no_descendants																														
H5a1c1a7	0	no_ci	no_descendants																														
H5a1c1a7a	0	no_ci	no_descendants																														
H5a1c1a8	0	no_ci	no_descendants																														
H5a1c1a9	0	no_ci	no_descendants																														
H5a1c1a9a	0	no_ci	no_descendants																														
H5a1c2a	0	no_ci	no_descendants																														
H5a1c2b	0	no_ci	no_descendants																														
H5a1c2d1	0	no_ci	no_descendants																														
H5a1cb	0	no_ci	no_descendants																														
H5a1cc	0	no_ci	no_descendants																														
H5a1cd	0	no_ci	no_descendants																														
H5a1cd1	0	no_ci	no_descendants																														
H5a1ce	0	no_ci	no_descendants																														
H5a1cf	0	no_ci	no_descendants																														
H5a1cf+10364	0	no_ci	no_descendants																														
H5a1cg	0	no_ci	no_descendants																														
H5a1ch	0	no_ci	no_descendants																														
H5a1ch1	0	no_ci	no_descendants																														
H5a1ci	0	no_ci	no_descendants																														
H5a1cj	0	no_ci	no_descendants																														
H5a1ck	0	no_ci	no_descendants																														
H5a1cl	0	no_ci	no_descendants																														
H5a1cm	0	no_ci	no_descendants																														
H5a1cn	0	no_ci	no_descendants																														
H5a1cn^	0	no_ci	no_descendants																														
H5a1co	0	no_ci	no_descendants																														
H5a1cp	0	no_ci	no_descendants																														
H5a1cq	0	no_ci	no_descendants																														
H5a1cr	0	no_ci	no_descendants																														
H5a1cs	0	no_ci	no_descendants																														
H5a1ct	0	no_ci	no_descendants																														
H5a1cu	0	no_ci	no_descendants																														
H5a1cv	0	no_ci	no_descendants																														
H5a1cv1	0	no_ci	no_descendants																														
H5a1cw	0	no_ci	no_descendants																														
H5a1cy	0	no_ci	no_descendants																														
H5a1cz	0	no_ci	no_descendants																														
H5a1d1	0	no_ci	no_descendants																														
H5a1d1a	0	no_ci	no_descendants																														
H5a1d1a1	0	no_ci	no_descendants																														
H5a1d3	0	no_ci	no_descendants																														
H5a1d4	0	no_ci	no_descendants																														
H5a1d4a	0	no_ci	no_descendants																														
H5a1d5	0	no_ci	no_descendants																														
H5a1d6	0	no_ci	no_descendants																														
H5a1d7	0	no_ci	no_descendants																														
H5a1d8	0	no_ci	no_descendants																														
H5a1da	0	no_ci	no_descendants																														
H5a1db	0	no_ci	no_descendants																														
H5a1dc	0	no_ci	no_descendants																														
H5a1dc1	0	no_ci	no_descendants																														
H5a1dc^	0	no_ci	no_descendants																														
H5a1dd	0	no_ci	no_descendants																														
H5a1de	0	no_ci	no_descendants																														
H5a1df	0	no_ci	no_descendants																														
H5a1df+16519	0	no_ci	no_descendants																														
H5a1dg	0	no_ci	no_descendants																														
H5a1di	0	no_ci	no_descendants																														
H5a1di+16304	0	no_ci	no_descendants																														
H5a1di1	0	no_ci	no_descendants																														
H5a1dk	0	no_ci	no_descendants																														
H5a1dn	0	no_ci	no_descendants																														
H5a1do	0	no_ci	no_descendants																														
H5a1dp	0	no_ci	no_descendants																														
H5a1dp2	0	no_ci	no_descendants																														
H5a1dt	0	no_ci	no_descendants																														
H5a1dt1	0	no_ci	no_descendants																														
H5a1du	0	no_ci	no_descendants																														
H5a1du+152	0	no_ci	no_descendants																														
H5a1dv	0	no_ci	no_descendants																														
H5a1dv1	0	no_ci	no_descendants																														
H5a1dv^	0	no_ci	no_descendants																														
H5a1dx	0	no_ci	no_descendants																														
H5a1dx1	0	no_ci	no_descendants																														
H5a1dy	0	no_ci	no_descendants																														
H5a1dy1	0	no_ci	no_descendants																														
H5a1dy^	0	no_ci	no_descendants																														
H5a1e+152	0	no_ci	no_descendants																														
H5a1ea	0	no_ci	no_descendants																														
H5a1ec	0	no_ci	no_descendants																														
H5a1ec1	0	no_ci	no_descendants																														
H5a1ed	0	no_ci	no_descendants																														
H5a1ee	0	no_ci	no_descendants																														
H5a1ee^	0	no_ci	no_descendants																														
H5a1ef	0	no_ci	no_descendants																														
H5a1eg	0	no_ci	no_descendants																														
H5a1eg1	0	no_ci	no_descendants																														
H5a1eh	0	no_ci	no_descendants																														
H5a1ei	0	no_ci	no_descendants																														
H5a1ej^+16519	0	no_ci	no_descendants																														
H5a1ek	0	no_ci	no_descendants																														
H5a1el	0	no_ci	no_descendants																														
H5a1em	0	no_ci	no_descendants																														
H5a1en	0	no_ci	no_descendants																														
H5a1eo	0	no_ci	no_descendants																														
H5a1ep	0	no_ci	no_descendants																														
H5a1eq	0	no_ci	no_descendants																														
H5a1es	0	no_ci	no_descendants																														
H5a1et	0	no_ci	no_descendants																														
H5a1eu	0	no_ci	no_descendants																														
H5a1f2+146	0	no_ci	no_descendants																														
H5a1f2b	0	no_ci	no_descendants																														
H5a1f2d	0	no_ci	no_descendants																														
H5a1f2d1	0	no_ci	no_descendants																														
H5a1f2e	0	no_ci	no_descendants																														
H5a1f2e1	0	no_ci	no_descendants																														
H5a1f2e1a	0	no_ci	no_descendants																														
H5a1f2f	0	no_ci	no_descendants																														
H5a1f2g	0	no_ci	no_descendants																														
H5a1f2h	0	no_ci	no_descendants																														
H5a1f2h^	0	no_ci	no_descendants																														
H5a1f2h^+152	0	no_ci	no_descendants																														
H5a1f2i	0	no_ci	no_descendants																														
H5a1f2j	0	no_ci	no_descendants																														
H5a1f3	0	no_ci	no_descendants																														
H5a1f4	0	no_ci	no_descendants																														
H5a1f5	0	no_ci	no_descendants																														
H5a1g1a+152	0	no_ci	no_descendants																														
H5a1g1a10	0	no_ci	no_descendants																														
H5a1g1a11	0	no_ci	no_descendants																														
H5a1g1a2	0	no_ci	no_descendants																														
H5a1g1a3	0	no_ci	no_descendants																														
H5a1g1a4	0	no_ci	no_descendants																														
H5a1g1a4a	0	no_ci	no_descendants																														
H5a1g1a4a1	0	no_ci	no_descendants																														
H5a1g1a4a1a	0	no_ci	no_descendants																														
H5a1g1a7	0	no_ci	no_descendants																														
H5a1g1a8	0	no_ci	no_descendants																														
H5a1g1a9	0	no_ci	no_descendants																														
H5a1g1a9'10'11	0	no_ci	no_descendants																														
H5a1g1b	0	no_ci	no_descendants																														
H5a1g1c	0	no_ci	no_descendants																														
H5a1g1d	0	no_ci	no_descendants																														
H5a1g1d^	0	no_ci	no_descendants																														
H5a1g1e	0	no_ci	no_descendants																														
H5a1g1f	0	no_ci	no_descendants																														
H5a1g1g	0	no_ci	no_descendants																														
H5a1g1h	0	no_ci	no_descendants																														
H5a1g1i	0	no_ci	no_descendants																														
H5a1g1j	0	no_ci	no_descendants																														
H5a1g1j1	0	no_ci	no_descendants																														
H5a1g1j1^	0	no_ci	no_descendants																														
H5a1g7	0	no_ci	no_descendants																														
H5a1j+16519	0	no_ci	no_descendants																														
H5a1j+16519+146	0	no_ci	no_descendants																														
H5a1j+16519+152	0	no_ci	no_descendants																														
H5a1j1	0	no_ci	no_descendants																														
H5a1j10	0	no_ci	no_descendants																														
H5a1j11	0	no_ci	no_descendants																														
H5a1j12	0	no_ci	no_descendants																														
H5a1j12^	0	no_ci	no_descendants																														
H5a1j13	0	no_ci	no_descendants																														
H5a1j13^	0	no_ci	no_descendants																														
H5a1j13^^	0	no_ci	no_descendants																														
H5a1j14	0	no_ci	no_descendants																														
H5a1j15	0	no_ci	no_descendants																														
H5a1j16	0	no_ci	no_descendants																														
H5a1j2	0	no_ci	no_descendants																														
H5a1j2a	0	no_ci	no_descendants																														
H5a1j2a1	0	no_ci	no_descendants																														
H5a1j2a2	0	no_ci	no_descendants																														
H5a1j2b	0	no_ci	no_descendants																														
H5a1j3	0	no_ci	no_descendants																														
H5a1j3a	0	no_ci	no_descendants																														
H5a1j3a+146	0	no_ci	no_descendants																														
H5a1j3a1	0	no_ci	no_descendants																														
H5a1j4	0	no_ci	no_descendants																														
H5a1j6	0	no_ci	no_descendants																														
H5a1j6+151	0	no_ci	no_descendants																														
H5a1j6a	0	no_ci	no_descendants																														
H5a1j7	0	no_ci	no_descendants																														
H5a1j8	0	no_ci	no_descendants																														
H5a1l1	0	no_ci	no_descendants																														
H5a1l2	0	no_ci	no_descendants																														
H5a1l3a	0	no_ci	no_descendants																														
H5a1l3a+16362	0	no_ci	no_descendants																														
H5a1l3a1	0	no_ci	no_descendants																														
H5a1m1	0	no_ci	no_descendants																														
H5a1m2+151	0	no_ci	no_descendants																														
H5a1m2a	0	no_ci	no_descendants																														
H5a1m2a+16362	0	no_ci	no_descendants																														
H5a1m2c	0	no_ci	no_descendants																														
H5a1m2d	0	no_ci	no_descendants																														
H5a1m2e	0	no_ci	no_descendants																														
H5a1m3	0	no_ci	no_descendants																														
H5a1m3'4	0	no_ci	no_descendants																														
H5a1m4	0	no_ci	no_descendants																														
H5a1m4a	0	no_ci	no_descendants																														
H5a1m5	0	no_ci	no_descendants																														
H5a1n2	0	no_ci	no_descendants																														
H5a1n2a	0	no_ci	no_descendants																														
H5a1n2a1	0	no_ci	no_descendants																														
H5a1n2b	0	no_ci	no_descendants																														
H5a1p1	0	no_ci	no_descendants																														
H5a1p3	0	no_ci	no_descendants																														
H5a1p3^	0	no_ci	no_descendants																														
H5a1q1	0	no_ci	no_descendants																														
H5a1q1+16519	0	no_ci	no_descendants																														
H5a1q1a	0	no_ci	no_descendants																														
H5a1r	0	no_ci	no_descendants																														
H5a1r2	0	no_ci	no_descendants																														
H5a1r2a	0	no_ci	no_descendants																														
H5a1r2a1	0	no_ci	no_descendants																														
H5a1r2a2	0	no_ci	no_descendants																														
H5a1s	0	no_ci	no_descendants																														
H5a1s+16519	0	no_ci	no_descendants																														
H5a1s1	0	no_ci	no_descendants																														
H5a1s1a	0	no_ci	no_descendants																														
H5a1s2	0	no_ci	no_descendants																														
H5a1t3	0	no_ci	no_descendants																														
H5a1t4	0	no_ci	no_descendants																														
H5a1u	0	no_ci	no_descendants																														
H5a1u1	0	no_ci	no_descendants																														
H5a1u1a	0	no_ci	no_descendants																														
H5a1v	0	no_ci	no_descendants																														
H5a1v1	0	no_ci	no_descendants																														
H5a1w	0	no_ci	no_descendants																														
H5a1w1	0	no_ci	no_descendants																														
H5a1w2	0	no_ci	no_descendants																														
H5a1x	0	no_ci	no_descendants																														
H5a1y	0	no_ci	no_descendants																														
H5a1y1	0	no_ci	no_descendants																														
H5a1y2	0	no_ci	no_descendants																														
H5a1z1a	0	no_ci	no_descendants																														
H5a1z2	0	no_ci	no_descendants																														
H5a2+146	0	no_ci	no_descendants																														
H5a20	0	no_ci	no_descendants																														
H5a20^	0	no_ci	no_descendants																														
H5a21	0	no_ci	no_descendants																														
H5a22	0	no_ci	no_descendants																														
H5a23	0	no_ci	no_descendants																														
H5a23a	0	no_ci	no_descendants																														
H5a23a1	0	no_ci	no_descendants																														
H5a24	0	no_ci	no_descendants																														
H5a24a	0	no_ci	no_descendants																														
H5a25	0	no_ci	no_descendants																														
H5a25a	0	no_ci	no_descendants																														
H5a26	0	no_ci	no_descendants																														
H5a27	0	no_ci	no_descendants																														
H5a28	0	no_ci	no_descendants																														
H5a29	0	no_ci	no_descendants																														
H5a2aa	0	no_ci	no_descendants																														
H5a2aa1	0	no_ci	no_descendants																														
H5a2ac	0	no_ci	no_descendants																														
H5a2ac'ah	0	no_ci	no_descendants																														
H5a2ae2	0	no_ci	no_descendants																														
H5a2ae3	0	no_ci	no_descendants																														
H5a2ag	0	no_ci	no_descendants																														
H5a2ah	0	no_ci	no_descendants																														
H5a2b	0	no_ci	no_descendants																														
H5a2c1b	0	no_ci	no_descendants																														
H5a2c2	0	no_ci	no_descendants																														
H5a2c2a	0	no_ci	no_descendants																														
H5a2d	0	no_ci	no_descendants																														
H5a2d3	0	no_ci	no_descendants																														
H5a2d3'4	0	no_ci	no_descendants																														
H5a2d4	0	no_ci	no_descendants																														
H5a2d5	0	no_ci	no_descendants																														
H5a2d5a	0	no_ci	no_descendants																														
H5a2d6	0	no_ci	no_descendants																														
H5a2e	0	no_ci	no_descendants																														
H5a2e1	0	no_ci	no_descendants																														
H5a2e1^	0	no_ci	no_descendants																														
H5a2e2	0	no_ci	no_descendants																														
H5a2e2^	0	no_ci	no_descendants																														
H5a2e3	0	no_ci	no_descendants																														
H5a2e3+16311	0	no_ci	no_descendants																														
H5a2f	0	no_ci	no_descendants																														
H5a2f1	0	no_ci	no_descendants																														
H5a2f1a	0	no_ci	no_descendants																														
H5a2g	0	no_ci	no_descendants																														
H5a2h	0	no_ci	no_descendants																														
H5a2h1	0	no_ci	no_descendants																														
H5a2i1	0	no_ci	no_descendants																														
H5a2k	0	no_ci	no_descendants																														
H5a2k1	0	no_ci	no_descendants																														
H5a2o	0	no_ci	no_descendants																														
H5a2o6	0	no_ci	no_descendants																														
H5a2q	0	no_ci	no_descendants																														
H5a2q1	0	no_ci	no_descendants																														
H5a2q2	0	no_ci	no_descendants																														
H5a2u	0	no_ci	no_descendants																														
H5a2u1	0	no_ci	no_descendants																														
H5a2v	0	no_ci	no_descendants																														
H5a2v1	0	no_ci	no_descendants																														
H5a2w	0	no_ci	no_descendants																														
H5a2x	0	no_ci	no_descendants																														
H5a2y	0	no_ci	no_descendants																														
H5a2z	0	no_ci	no_descendants																														
H5a30	0	no_ci	no_descendants																														
H5a30a	0	no_ci	no_descendants																														
H5a30a1	0	no_ci	no_descendants																														
H5a31	0	no_ci	no_descendants																														
H5a31^	0	no_ci	no_descendants																														
H5a33	0	no_ci	no_descendants																														
H5a3a+152	0	no_ci	no_descendants																														
H5a3a1a	0	no_ci	no_descendants																														
H5a3a1b	0	no_ci	no_descendants																														
H5a3a1c	0	no_ci	no_descendants																														
H5a3a2a	0	no_ci	no_descendants																														
H5a3a2a'c'd'e'f	0	no_ci	no_descendants																														
H5a3a2c	0	no_ci	no_descendants																														
H5a3a2d	0	no_ci	no_descendants																														
H5a3a2e	0	no_ci	no_descendants																														
H5a3a2f	0	no_ci	no_descendants																														
H5a3a4a1b	0	no_ci	no_descendants																														
H5a3a5	0	no_ci	no_descendants																														
H5a3a5a	0	no_ci	no_descendants																														
H5a3a6	0	no_ci	no_descendants																														
H5a3a6^	0	no_ci	no_descendants																														
H5a3a7	0	no_ci	no_descendants																														
H5a3a8	0	no_ci	no_descendants																														
H5a3a9	0	no_ci	no_descendants																														
H5a3d	0	no_ci	no_descendants																														
H5a3e	0	no_ci	no_descendants																														
H5a4a1+152	0	no_ci	no_descendants																														
H5a4a1^+16192	0	no_ci	no_descendants																														
H5a4a1a1a	0	no_ci	no_descendants																														
H5a4a1a1a+189	0	no_ci	no_descendants																														
H5a4a1a1b	0	no_ci	no_descendants																														
H5a4a1a2	0	no_ci	no_descendants																														
H5a4a1a2a	0	no_ci	no_descendants																														
H5a4a1a2b	0	no_ci	no_descendants																														
H5a4a1a3	0	no_ci	no_descendants																														
H5a4a2	0	no_ci	no_descendants																														
H5a4a2b	0	no_ci	no_descendants																														
H5a4a3	0	no_ci	no_descendants																														
H5a4a3a	0	no_ci	no_descendants																														
H5a4a4	0	no_ci	no_descendants																														
H5a4e	0	no_ci	no_descendants																														
H5a5a	0	no_ci	no_descendants																														
H5a5a1	0	no_ci	no_descendants																														
H5a5b	0	no_ci	no_descendants																														
H5a6+16172	0	no_ci	no_descendants																														
H5a6a+151	0	no_ci	no_descendants																														
H5a6a1a	0	no_ci	no_descendants																														
H5a6a1b	0	no_ci	no_descendants																														
H5a6a2	0	no_ci	no_descendants																														
H5a6b2	0	no_ci	no_descendants																														
H5a6b2+16311	0	no_ci	no_descendants																														
H5a6b2a	0	no_ci	no_descendants																														
H5a6b2a+16261	0	no_ci	no_descendants																														
H5a6b3+151	0	no_ci	no_descendants																														
H5a6b3b	0	no_ci	no_descendants																														
H5a6e	0	no_ci	no_descendants																														
H5a6g	0	no_ci	no_descendants																														
H5a6g+16311	0	no_ci	no_descendants																														
H5a6h	0	no_ci	no_descendants																														
H5a6i	0	no_ci	no_descendants																														
H5a6i^	0	no_ci	no_descendants																														
H5a7b	0	no_ci	no_descendants																														
H5a7e	0	no_ci	no_descendants																														
H5a7g	0	no_ci	no_descendants																														
H5a7h	0	no_ci	no_descendants																														
H5a7h1	0	no_ci	no_descendants																														
H5a7i	0	no_ci	no_descendants																														
H5a7j	0	no_ci	no_descendants																														
H5a7k	0	no_ci	no_descendants																														
H5a7l	0	no_ci	no_descendants																														
H5a8b	0	no_ci	no_descendants																														
H5a9b	0	no_ci	no_descendants																														
H5aa	0	no_ci	no_descendants																														
"H5aa""ca"	0	no_ci	no_descendants																														
H5ab1a	0	no_ci	no_descendants																														
H5ab1a1	0	no_ci	no_descendants																														
H5ab1b	0	no_ci	no_descendants																														
H5ab1c	0	no_ci	no_descendants																														
H5ac	0	no_ci	no_descendants																														
H5ad	0	no_ci	no_descendants																														
H5ad1	0	no_ci	no_descendants																														
H5ad1a	0	no_ci	no_descendants																														
H5ad1b	0	no_ci	no_descendants																														
H5af	0	no_ci	no_descendants																														
H5af1	0	no_ci	no_descendants																														
H5ah	0	no_ci	no_descendants																														
H5ah1	0	no_ci	no_descendants																														
H5ai	0	no_ci	no_descendants																														
H5ai1	0	no_ci	no_descendants																														
H5aj	0	no_ci	no_descendants																														
H5am	0	no_ci	no_descendants																														
H5am'bv	0	no_ci	no_descendants																														
H5ap	0	no_ci	no_descendants																														
H5aq	0	no_ci	no_descendants																														
H5aq1	0	no_ci	no_descendants																														
H5ar	0	no_ci	no_descendants																														
H5ar+151	0	no_ci	no_descendants																														
H5ar2	0	no_ci	no_descendants																														
H5au	0	no_ci	no_descendants																														
H5au1	0	no_ci	no_descendants																														
H5av	0	no_ci	no_descendants																														
H5av1	0	no_ci	no_descendants																														
H5aw+16519	0	no_ci	no_descendants																														
H5ax	0	no_ci	no_descendants																														
H5ax1	0	no_ci	no_descendants																														
H5ay	0	no_ci	no_descendants																														
H5ay1	0	no_ci	no_descendants																														
H5az	0	no_ci	no_descendants																														
H5az2	0	no_ci	no_descendants																														
H5az2a	0	no_ci	no_descendants																														
H5az3	0	no_ci	no_descendants																														
H5b1+146+198	0	no_ci	no_descendants																														
H5b10	0	no_ci	no_descendants																														
H5b11	0	no_ci	no_descendants																														
H5b12	0	no_ci	no_descendants																														
H5b13	0	no_ci	no_descendants																														
H5b14	0	no_ci	no_descendants																														
H5b16+150	0	no_ci	no_descendants																														
H5b17	0	no_ci	no_descendants																														
H5b17a	0	no_ci	no_descendants																														
H5b18	0	no_ci	no_descendants																														
H5b19	0	no_ci	no_descendants																														
H5b19a	0	no_ci	no_descendants																														
H5b1a	0	no_ci	no_descendants																														
H5b1a1	0	no_ci	no_descendants																														
H5b1a2	0	no_ci	no_descendants																														
H5b1b	0	no_ci	no_descendants																														
H5b1c1	0	no_ci	no_descendants																														
H5b1c3	0	no_ci	no_descendants																														
H5b1c4	0	no_ci	no_descendants																														
H5b1c5	0	no_ci	no_descendants																														
H5b1c5a	0	no_ci	no_descendants																														
H5b1c5b	0	no_ci	no_descendants																														
H5b1g	0	no_ci	no_descendants																														
H5b1h	0	no_ci	no_descendants																														
H5b1h+16129	0	no_ci	no_descendants																														
H5b1i	0	no_ci	no_descendants																														
H5b1j	0	no_ci	no_descendants																														
H5b1j1	0	no_ci	no_descendants																														
H5b1j1^	0	no_ci	no_descendants																														
H5b1k	0	no_ci	no_descendants																														
H5b1l	0	no_ci	no_descendants																														
H5b1m	0	no_ci	no_descendants																														
H5b1n	0	no_ci	no_descendants																														
H5b1o	0	no_ci	no_descendants																														
H5b1p	0	no_ci	no_descendants																														
H5b1q	0	no_ci	no_descendants																														
H5b1r	0	no_ci	no_descendants																														
H5b1s	0	no_ci	no_descendants																														
H5b1t	0	no_ci	no_descendants																														
H5b1u	0	no_ci	no_descendants																														
H5b2+152	0	no_ci	no_descendants																														
H5b2+195	0	no_ci	no_descendants																														
H5b20	0	no_ci	no_descendants																														
H5b21	0	no_ci	no_descendants																														
H5b21^	0	no_ci	no_descendants																														
H5b22	0	no_ci	no_descendants																														
H5b24	0	no_ci	no_descendants																														
H5b25	0	no_ci	no_descendants																														
H5b26	0	no_ci	no_descendants																														
H5b26^	0	no_ci	no_descendants																														
H5b26^^	0	no_ci	no_descendants																														
H5b26a	0	no_ci	no_descendants																														
H5b2b1a	0	no_ci	no_descendants																														
H5b2b1b	0	no_ci	no_descendants																														
H5b2b2	0	no_ci	no_descendants																														
H5b2b3	0	no_ci	no_descendants																														
H5b2b3a	0	no_ci	no_descendants																														
H5b2b4	0	no_ci	no_descendants																														
H5b2c	0	no_ci	no_descendants																														
H5b2d	0	no_ci	no_descendants																														
H5b2d^	0	no_ci	no_descendants																														
H5b2e	0	no_ci	no_descendants																														
H5b2f	0	no_ci	no_descendants																														
H5b2g	0	no_ci	no_descendants																														
H5b2h	0	no_ci	no_descendants																														
H5b2i	0	no_ci	no_descendants																														
H5b3	0	no_ci	no_descendants																														
H5b3+152	0	no_ci	no_descendants																														
H5b5a	0	no_ci	no_descendants																														
H5b5b	0	no_ci	no_descendants																														
H5b6	0	no_ci	no_descendants																														
H5b6a	0	no_ci	no_descendants																														
H5b6a'b	0	no_ci	no_descendants																														
H5b6b	0	no_ci	no_descendants																														
H5b7c1	0	no_ci	no_descendants																														
H5b7c1a	0	no_ci	no_descendants																														
H5b7c2	0	no_ci	no_descendants																														
H5b7d	0	no_ci	no_descendants																														
H5b8a1	0	no_ci	no_descendants																														
H5b8a1a	0	no_ci	no_descendants																														
H5b8a1a^	0	no_ci	no_descendants																														
H5b8a3	0	no_ci	no_descendants																														
H5b8a3^	0	no_ci	no_descendants																														
H5b8a3a	0	no_ci	no_descendants																														
H5b8b	0	no_ci	no_descendants																														
H5b8c	0	no_ci	no_descendants																														
H5b8d	0	no_ci	no_descendants																														
H5b9	0	no_ci	no_descendants																														
H5bb	0	no_ci	no_descendants																														
H5bb1	0	no_ci	no_descendants																														
H5bb1a	0	no_ci	no_descendants																														
H5bc	0	no_ci	no_descendants																														
H5bc1	0	no_ci	no_descendants																														
H5bc1+16172	0	no_ci	no_descendants																														
H5bc1a	0	no_ci	no_descendants																														
H5bf	0	no_ci	no_descendants																														
H5bf1	0	no_ci	no_descendants																														
H5bg	0	no_ci	no_descendants																														
H5bg2	0	no_ci	no_descendants																														
H5bg2a	0	no_ci	no_descendants																														
H5bg3	0	no_ci	no_descendants																														
H5bg3a	0	no_ci	no_descendants																														
H5bg4	0	no_ci	no_descendants																														
H5bg5	0	no_ci	no_descendants																														
H5bg6	0	no_ci	no_descendants																														
H5bg7	0	no_ci	no_descendants																														
H5bg^	0	no_ci	no_descendants																														
H5bk	0	no_ci	no_descendants																														
H5bn	0	no_ci	no_descendants																														
H5bn+146	0	no_ci	no_descendants																														
H5bn1	0	no_ci	no_descendants																														
H5bn1a	0	no_ci	no_descendants																														
H5bq	0	no_ci	no_descendants																														
H5bs	0	no_ci	no_descendants																														
H5bs+16189	0	no_ci	no_descendants																														
H5bs1	0	no_ci	no_descendants																														
H5bt	0	no_ci	no_descendants																														
H5bt+146	0	no_ci	no_descendants																														
H5bu	0	no_ci	no_descendants																														
H5bu1	0	no_ci	no_descendants																														
H5bv	0	no_ci	no_descendants																														
H5bw	0	no_ci	no_descendants																														
H5bx	0	no_ci	no_descendants																														
H5bx^	0	no_ci	no_descendants																														
H5bz	0	no_ci	no_descendants																														
H5bz1	0	no_ci	no_descendants																														
H5bz1a	0	no_ci	no_descendants																														
H5bz1a1	0	no_ci	no_descendants																														
H5c+146	0	no_ci	no_descendants																														
H5c10	0	no_ci	no_descendants																														
H5c10a	0	no_ci	no_descendants																														
H5c11	0	no_ci	no_descendants																														
H5c12	0	no_ci	no_descendants																														
H5c12^	0	no_ci	no_descendants																														
H5c13	0	no_ci	no_descendants																														
H5c13a	0	no_ci	no_descendants																														
H5c14	0	no_ci	no_descendants																														
H5c14^	0	no_ci	no_descendants																														
H5c15	0	no_ci	no_descendants																														
H5c15a	0	no_ci	no_descendants																														
H5c16	0	no_ci	no_descendants																														
H5c1b	0	no_ci	no_descendants																														
H5c2c1	0	no_ci	no_descendants																														
H5c2c2+16189	0	no_ci	no_descendants																														
H5c2c3	0	no_ci	no_descendants																														
H5c2c4	0	no_ci	no_descendants																														
H5c2c5	0	no_ci	no_descendants																														
H5c3a	0	no_ci	no_descendants																														
H5c6	0	no_ci	no_descendants																														
H5c6'15	0	no_ci	no_descendants																														
H5c6a	0	no_ci	no_descendants																														
H5c6a1	0	no_ci	no_descendants																														
H5c6a2	0	no_ci	no_descendants																														
H5c8	0	no_ci	no_descendants																														
H5c9	0	no_ci	no_descendants																														
