# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
M7b1a1e	3		7.06(-0.23;14.35)	2(1.05)		7.75 (1.67; 13.84)	3(1.2)		10.51 (-2.1; 23.12)	1.33(0.82)		6.34 (0.61; 16.25)	7.92 	5-11.5 kya
M7b1a1f	3		10.59(2.27;18.91)	3(1.2)		11.2 (4.24; 18.17)	4.33(1.37)		13.13 (1.62; 24.65)	1.67(0.75)		15.62 (5.21; 29.54)	12.64 	11.5-19.5 kya
M7c	17		19.73(11.5;27.96)	5.59(1.19)		28.74 (19.11; 38.36)	11.12(1.9)		23.64 (14.07; 33.21)	3(0.62)		40.74 (26.97; 57.57)	28.21 	19.5 kya
M7c1	16		15.66(10.46;20.87)	4.44(0.75)		21 (15.86; 26.15)	8.12(1.02)		21.67 (11.83; 31.51)	2.75(0.64)		35.94 (23.44; 50.40)	23.57 	19.5 kya
M7c1a	6		9.41(4.8;14.03)	2.67(0.67)		13.36 (8.08; 18.63)	5.17(1.04)		11.82 (4.1; 19.54)	1.5(0.5)		13.21 (7.46; 32.28)	11.95 	11.5-19.5 kya
M7c1a3	3		4.71(0.09;9.32)	1.33(0.67)		9.48 (3.39; 15.57)	3.67(1.2)		5.25 (-2.03; 12.53)	0.67(0.47)		9.47 (2.54; 20.49)	7.23 	5-11.5 kya
M7c1b	4		14.12(6.38;21.86)	4(1.12)		22.62 (14.71; 30.53)	8.75(1.56)		21.67 (7.75; 35.59)	2.75(0.9)		23.11 (12.26; 37.82)	20.38 	19.5 kya
M7c1c2	4		5.29(1.06;9.53)	1.5(0.61)		11.63 (3.23; 20.03)	4.5(1.66)		5.91 (-0.78; 12.6)	0.75(0.43)		10.89 (3.19; 22.62)	8.43 	5-11.5 kya
Coalescent ages of D4 in northern Han Chinese.														
D4	44		18.85(14.56;23.15)	5.34(0.62)		23.32 (19.31; 27.34)	9.02(0.79)		25.07 (17.74; 32.4)	3.18(0.47)		45.42 (33.17; 59.65)	28.17 	19.5 kya
D4a	10		10.94(6.62;15.26)	3.1(0.62)		11.89 (8.1; 15.68)	4.6(0.75)		11.03 (5.25; 16.81)	1.4(0.37)		10.02 (3.28; 18.32)	10.97 	5-11.5 kya
D4b	8		20.3(11.91;28.68)	5.75(1.21)		24.88 (16.41; 33.35)	9.62(1.67)		38.41 (19.01; 57.82)	4.87(1.26)		39.98 (26.44; 56.91)	30.89 	19.5 kya
D4b1	4		21.18(5.71;36.65)	6(2.24)		19.39 (7.24; 31.54)	7.5(2.4)		35.46 (5.55; 65.37)	4.5(1.94)		31.48 (17.57; 49.17)	26.88 	19.5 kya
D4b1a	3		17.65(3.81;31.49)	5(2)		16.8 (5.76; 27.84)	6.5(2.18)		35.46 (5.55; 65.37)	4.5(1.94)		20.32 (8.87; 35.83)	22.56 	19.5 kya
D4b1a2	3		12.94(4.63;21.26)	3.67(1.2)		12.06 (5.31; 18.82)	4.67(1.33)		21.01 (4.73; 37.29)	2.67(1.05)		20.29 (8.80; 35.39)	16.58 	11.5-19.5 kya
D4b2	5		12.71(4.88;20.54)	3.6(1.13)		17.06 (9.28; 24.84)	6.6(1.54)		17.34 (2.52; 32.15)	2.2(0.96)		19.59 (9.44; 32.40)	16.68 	11.5-19.5 kya
D4b2b	4		12.35(5.44;19.27)	3.5(1)		12.93 (6.98; 18.87)	5(1.17)		13.79 (3.57; 24.01)	1.75(0.66)		20.14 (9.08; 33.55)	14.80 	11.5-19.5 kya
D4e	5		18.36(8.57;28.14)	5.2(1.41)		25.85 (16.56; 35.14)	10(1.83)		22.06 (5.15; 38.98)	2.8(1.1)		23.06 (11.31; 37.99)	22.33 	19.5 kya
D4e1'3	4		15.88(6.41;25.36)	4.5(1.37)		25.2 (15.31; 35.1)	9.75(1.95)		11.82 (-0.39; 24.03)	1.5(0.79)		14.22 (5.09; 27.09)	16.78 	11.5-19.5 kya
D4g2	5		14.12(4.94;23.3)	4(1.33)		18.09 (9.56; 26.63)	7(1.69)		17.34 (2.52; 32.15)	2.2(0.96)		18.75 (8.04; 32.13)	17.08 	11.5-19.5 kya
D4g2a1	4		8.82(3.36;14.29)	2.5(0.79)		12.28 (6.76; 17.8)	4.75(1.09)		11.82 (2.36; 21.28)	1.5(0.61)		11.28 (2.99; 22.28)	11.05 	5-11.5 kya
D4j	5		9.18(4.19;14.17)	2.6(0.72)		14.48 (8.57; 20.38)	5.6(1.17)		11.03 (2.86; 19.2)	1.4(0.53)		9.69 (2.84; 19.56)	11.09 	5-11.5 kya
Coalescent ages of B4 and M7 in southern Han Chinese.														
M7	29		41.1(24.55;57.65)	11.64(2.39)		47.73 (33.17; 62.3)	18.46(2.87)		57.69 (27.88; 87.5)	7.32(1.93)		62.29 (43.28; 84.24)	52.20 	19.5 kya
M7b1a	19		13.93(6.61;21.26)	3.95(1.06)		19.46 (11.22; 27.69)	7.53(1.62)		12.44 (7.56; 17.32)	1.58(0.32)		30.89 (18.43; 47.94)	19.18 	11.5-19.5 kya
M7b1a1	18		9.61(6.33;12.89)	2.72(0.47)		13.64 (8.82; 18.46)	5.28(0.95)		10.94 (6.17; 15.72)	1.39(0.31)		10.37 (4.06; 20.55)	11.47 	5-11.5 kya
M7b1a1a3	4		4.41(-0.16;8.99)	1.25(0.66)		7.75 (1.81; 13.7)	3(1.17)		3.94 (-1.52; 9.4)	0.5(0.35)		3.51 (0.14; 10.94)	4.90 	2-5 kya
M7b1a1f	3		10.59(2.27;18.91)	3(1.2)		11.2 (4.24; 18.17)	4.33(1.37)		13.13 (1.62; 24.65)	1.67(0.75)		11.02 (3.21; 26.54)	11.48 	5-11.5 kya
M7c1	9		13.73(6.64;20.82)	3.89(1.02)		21.25 (13.21; 29.3)	8.22(1.59)		21.89 (9.4; 34.38)	2.78(0.81)		26.49 (14.56; 40.19)	20.84 	19.5 kya
M7c1c2	5		5.65(0.47;10.83)	1.6(0.75)		10.34 (2.11; 18.57)	4(1.62)		9.46 (-0.31; 19.22)	1.2(0.63)		10.35 (2.87; 22.01)	8.95 	5-11.5 kya
B4	30		26.35(19.83;32.86)	7.46(0.94)		34.53 (28.35; 40.7)	13.36(1.22)		36.59 (24.96; 48.21)	4.64(0.75)		45.61 (34.33; 58.82)	35.77 	19.5 kya
B4b'd'e'j	6		22.94(10.37;35.52)	6.5(1.82)		32.31 (19.7; 44.92)	12.5(2.49)		38.09 (11.96; 64.21)	4.83(1.69)		35.74 (23.66; 51.04)	32.27 	19.5 kya
B4b1	6		15.88(7.98;23.79)	4.5(1.14)		21.97 (14.47; 29.48)	8.5(1.48)		22.33 (7.99; 36.66)	2.83(0.93)		30.13 (17.66; 45.63)	22.58 	19.5 kya
B4b1a	4		15.3(5.24;25.35)	4.33(1.45)		18.96 (9.71; 28.21)	7.33(1.83)		15.76 (1.2; 30.32)	2(0.94)		25.46 (13.29; 42.35)	18.87 	11.5-19.5 kya
B4b1a2	3		8.82(-1.55;19.2)	2.5(1.5)		12.93 (3.45; 22.4)	5(1.87)		0 (0; 0)	0(0)		16.84 (6.83; 31.68)	9.64 	5-11.5 kya
B4c	8		25.59(15.51;35.68)	7.25(1.46)		39.42 (30.16; 48.69)	15.25(1.83)		30.53 (17.88; 43.19)	3.87(0.82)		33.12 (19.91; 49.72)	32.17 	19.5 kya
B4c1	7		23.2(14.25;32.15)	6.57(1.29)		38.04 (29.08; 46.99)	14.71(1.77)		29.27 (15.67; 42.87)	3.71(0.88)		26.66 (14.99; 41.60)	29.29 	19.5 kya
B4c1a'b	5		14.83(7.37;22.28)	4.2(1.08)		25.33 (17.16; 33.5)	9.8(1.61)		22.06 (8.25; 35.88)	2.8(0.89)		26.54 (14.91; 41.17)	22.19 	19.5 kya
B4c1a	3		9.41(2.89;15.94)	2.67(0.94)		18.09 (10.36; 25.83)	7(1.53)		18.39 (4.77; 32.01)	2.33(0.88)		13.52 (7.02; 31.08)	14.85 	11.5-19.5 kya
B4a	8		16.33(9.46;23.19)	4.62(0.99)		20.36 (13.93; 26.78)	7.87(1.27)		16.75 (6; 27.49)	2.12(0.7)		23.00 (12.28; 36.33)	19.11 	11.5-19.5 kya
B4a1	4		14.12(5.65;22.59)	4(1.22)		12.8 (6.79; 22.81)	4.95(1.58)		9.85 (1.22; 18.48)	1.25(0.56)		9.26 (2.48; 22.61)	11.50 	5-11.5 kya
B4a1c	3		9.41(2.12;16.71)	2.67(1.05)		13.79 (5.51; 22.06)	5.33(1.63)		7.88 (-1.04; 16.8)	1(0.58)		11.37 (3.57; 22.87)	10.61 	5-11.5 kya
B4a4	3		7.06(-2.72;16.84)	2(1.41)		11.63 (1.19; 22.08)	4.5(2.06)		7.88 (-7.56; 23.32)	1(1)		13.12 (4.71; 25.78)	9.92 	5-11.5 kya
B4g	4		15(6.71;23.3)	4.25(1.2)		18.74 (11.04; 26.45)	7.25(1.52)		19.7 (5.25; 34.15)	2.5(0.94)		19.86 (9.23; 34.26)	18.33 	11.5-19.5 kya
