# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
B5a1e1a	7.00  (0.28 , 14.00 )	5.92 (0.59, 11.44)
B5a1e1a1	1.93  (0.15 , 3.75 )	2.93 (0.00, 6.73)
B5a1e2	5.22  (0.10 , 10.50 )	6.49 (0.00, 14.33)
B5a1f	4.69  (0.01 , 9.51 )	7.44 (1.22, 13.90)
B5a1g	13.52  (6.92 , 20.35 )	16.29 (11.26, 21.44)
B5a1g1	5.22  (0.10 , 10.50 )	3.67 (0.00, 9.49)
B5a1g2	8.85  (4.28 , 13.54 )	12.33 (2.15, 23.11)
B5a1g2a	4.49  (2.35 , 6.67 )	5.48 (2.44, 8.59)
B5a1g2b	9.25  (3.65 , 15.02 )	7.82 (0.00, 18.35)
B5a1g2b1	3.90  (0.00 , 8.42 )	4.54 (0.00, 13.97)
B5a1h	5.66  (2.87 , 8.50 )	6.43 (2.76, 10.18)
B5a1h1	7.00  (1.55 , 12.63 )	4.42 (0.68, 8.25)
B5a1i	3.71  (1.18 , 6.28 )	5.48 (0.88, 10.22)
B5a1j	10.15  (4.02 , 16.51 )	13.91 (6.94, 21.13)
B5a2	27.19  (15.72 , 39.21 )	24.58 (17.11, 32.29)
B5a2a	18.81  (11.41 , 26.47 )	18.36 (12.64, 24.25)
B5a2a1	14.65  (6.30 , 23.36 )	13.84 (6.51, 21.46)
B5a2a1a	9.50  (2.58 , 16.71 )	8.78 (3.71, 13.99)
B5a2a1a1	7.00  (1.85 , 12.31 )	6.81 (2.53, 11.20)
B5a2a1a1a	4.40  (3.15 , 5.66 )	5.23 (3.52, 6.96)
B5a2a1a1a1	5.75  (2.32 , 9.25 )	4.36 (2.18, 6.57)
B5a2a1a1a2	1.55  (0.00 , 3.31 )	2.19 (0.00, 5.72)
B5a2a1a2	3.90  (0.77 , 7.09 )	4.61 (0.39, 8.94)
B5a2a1b	3.33  (1.15 , 5.55 )	5.36 (1.48, 9.34)
B5a2a2	13.82  (9.18 , 18.57 )	15.36 (10.86, 19.96)
B5a2a2a	8.46  (1.60 , 15.61 )	9.68 (2.64, 17.00)
B5a2a2a1	1.66  (0.35 , 2.97 )	3.18 (0.42, 5.99)
B5a2a2a2	2.59  (0.32 , 4.89 )	5.36 (0.00, 12.00)
B5a2a2b	6.55  (0.95 , 12.34 )	7.06 (0.14, 14.28)
B5a2a2b1	4.42  (0.31 , 8.65 )	4.61 (0.00, 11.47)
B5a2a2b1a	2.15  (0.00 , 5.70 )	2.19 (0.00, 10.47)
B5a2a2b2	1.29  (0.00 , 3.84 )	1.83 (0.00, 9.58)
B5a2a2c	7.89  (2.69 , 13.26 )	8.08 (1.23, 15.21)
B5a2a2d	4.84  (0.40 , 9.41 )	4.48 (0.00, 11.60)
B5a2a2d1	1.93  (0.00 , 4.16 )	2.62 (0.00, 10.54)
B5a2a2e	13.37  (6.03 , 21.01 )	12.99 (4.47, 21.91)
B5a2a2f	10.15  (4.27 , 16.24 )	12.07 (6.54, 17.78)
B5a2a2f1	5.88  (0.59 , 11.35 )	6.81 (0.97, 12.86)
B5a2a2f1a	4.33  (0.00 , 8.96 )	4.23 (0.00, 9.19)
B5a2a2f2	10.61  (3.18 , 18.36 )	9.80 (4.10, 15.70)
B5a2a2g	4.55  (0.32 , 8.91 )	4.73 (0.03, 9.58)
B5a2b	17.35  (9.22 , 25.82 )	17.69 (6.83, 29.16)
B5a2b1	11.99  (2.74 , 21.72 )	10.26 (2.47, 18.40)
B5a2b2	9.52  (3.06 , 16.22 )	10.58 (0.98, 20.73)
B5a2b2a	7.89  (1.54 , 14.49 )	8.01 (0.00, 17.36)
B5a2b2b	0.86  (0.00 , 2.55 )	1.40 (0.00, 4.42)
B5a3	14.52  (8.23 , 21.02 )	16.76 (6.94, 27.07)
B5a3a	9.90  (5.09 , 14.84 )	11.81 (4.08, 19.89)
B5a3a1	7.06  (3.99 , 10.20 )	7.95 (3.52, 12.50)
B5a3a1a	5.88  (1.61 , 10.27 )	5.73 (1.00, 10.61)
B5a3a1b	4.33  (0.53 , 8.24 )	4.86 (0.15, 9.70)
B5a3a2	4.63  (1.61 , 7.70 )	4.79 (0.00, 10.40)
B5a3b	7.40  (2.22 , 12.75 )	6.62 (0.07, 13.43)
B5a3b1	3.90  (0.77 , 7.09 )	3.98 (0.14, 7.93)
B5a3b2	1.55  (0.00 , 3.83 )	1.58 (0.00, 8.07)
B5a4	12.36  (7.67 , 17.17 )	12.99 (5.94, 20.31)
B5a4a	11.30  (5.52 , 17.26 )	10.90 (4.67, 17.36)
B5b	30.03  (22.39 , 37.91 )	30.25 (20.45, 40.42)
B5b1	20.49  (16.24 , 24.83 )	21.55 (16.79, 26.42)
B5b1a	16.11  (9.71 , 22.73 )	13.58 (8.75, 18.53)
B5b1a1	5.66  (1.92 , 9.49 )	6.24 (1.49, 11.12)
B5b1a1a	1.72  (0.00 , 4.13 )	2.13 (0.00, 5.05)
B5b1a2	15.00  (5.38 , 25.12 )	10.84 (4.73, 17.16)
B5b1a2a	9.66  (3.23 , 16.34 )	8.01 (2.73, 13.46)
B5b1a2a1	4.66  (2.74 , 6.60 )	4.67 (2.24, 7.13)
B5b1a2a1a	2.59  (0.00 , 6.44 )	2.19 (0.00, 7.33)
B5b1a2a1b	2.59  (0.00 , 5.57 )	2.56 (0.00, 6.10)
B5b1a2a2	5.22  (1.16 , 9.38 )	5.92 (1.31, 10.67)
B5b1a3	9.93  (3.37 , 16.74 )	9.29 (3.36, 15.43)
B5b1a4	11.99  (4.05 , 20.27 )	10.00 (4.16, 16.03)
B5b1a5	2.59  (0.00 , 6.24 )	3.61 (0.00, 10.31)
B5b1a6	0.86  (0.00 , 2.55 )	1.89 (0.00, 7.02)
B5b1a7	2.59  (0.00 , 6.24 )	4.30 (0.00, 10.89)
B5b1c	21.31  (10.06 , 33.17 )	15.76 (9.98, 21.70)
B5b1c1	9.03  (4.39 , 13.80 )	8.27 (4.80, 11.80)
B5b1c1a	5.48  (1.40 , 9.67 )	5.29 (1.41, 9.27)
B5b1c1a1	2.18  (0.58 , 3.81 )	3.18 (0.18, 6.24)
B5b1c1a2	4.08  (1.07 , 7.15 )	3.55 (0.43, 6.74)
B5b1c2	7.35  (1.68 , 13.22 )	7.57 (0.98, 14.42)
B5b1c2a	5.88  (1.24 , 10.66 )	5.36 (0.00, 11.49)
B5b1d	6.10  (0.96 , 11.42 )	6.93 (0.00, 16.23)
B5b1d1	2.59  (0.00 , 6.24 )	3.18 (0.00, 8.85)
B5b1e	5.22  (1.16 , 9.38 )	7.00 (0.00, 15.12)
B5b1f	17.69  (11.23 , 24.36 )	16.89 (10.58, 23.41)
B5b1f1	15.17  (6.31 , 24.44 )	14.17 (7.57, 21.00)
B5b1f1a	2.59  (0.71 , 4.48 )	2.56 (0.41, 4.75)
B5b1f1b	5.75  (2.32 , 9.25 )	8.97 (2.81, 15.36)
B5b1f2	6.10  (1.56 , 10.78 )	5.67 (0.00, 11.94)
B5b1f3'4	16.17  (8.32 , 24.34 )	15.36 (7.47, 23.58)
B5b1f3	5.22  (1.79 , 8.72 )	6.36 (0.00, 13.82)
B5b1f4	5.22  (1.16 , 9.38 )	4.36 (0.15, 8.69)
B5b1g	8.01  (2.71 , 13.48 )	9.42 (1.55, 17.66)
B5b1g1	5.28  (3.12 , 7.47 )	4.98 (2.79, 7.20)
B5b1g1a	2.59  (0.41 , 4.79 )	1.95 (0.16, 3.76)
B5b1g1b	2.59  (0.00 , 5.31 )	2.69 (0.00, 5.49)
B5b1g2	0.86  (0.00 , 2.55 )	1.34 (0.00, 3.99)
B5b1h	14.77  (6.49 , 23.41 )	17.63 (9.64, 25.93)
B5b1h1	5.22  (0.10 , 10.50 )	6.49 (0.00, 13.30)
B5b1h2	2.59  (0.00 , 6.24 )	2.81 (0.00, 8.22)
B5b1i	12.02  (7.98 , 16.16 )	16.36 (10.31, 22.59)
B5b1i1	4.69  (1.97 , 7.45 )	6.05 (1.55, 10.68)
B5b1i1a	1.72  (0.00 , 4.13 )	1.28 (0.00, 8.50)
B5b1i2	5.75  (1.26 , 10.36 )	5.23 (0.88, 9.71)
B5b1i3	15.05  (7.58 , 22.81 )	13.91 (7.57, 20.46)
B5b1i3a	12.45  (4.16 , 21.11 )	9.93 (3.01, 17.14)
B5b1i4	7.55  (3.19 , 12.04 )	9.68 (3.61, 15.96)
B5b1i4a	3.63  (0.93 , 6.38 )	4.42 (0.56, 8.38)
B5b1i4b	5.22  (0.10 , 10.50 )	6.17 (0.24, 12.33)
B5b1j	14.61  (8.79 , 20.61 )	16.22 (9.80, 22.85)
B5b1j1	17.38  (8.17 , 27.03 )	13.51 (5.95, 21.39)
B5b1j1a	5.75  (1.76 , 9.84 )	5.92 (0.00, 12.46)
B5b1j1b	2.59  (0.00 , 6.24 )	2.19 (0.00, 5.72)
B5b1j2	7.51  (3.12 , 12.02 )	7.76 (3.21, 12.43)
B5b1j2a	0.86  (0.00 , 1.83 )	1.89 (0.00, 4.67)
B5b1j2b	2.59  (0.05 , 5.16 )	4.11 (0.00, 8.56)
B5b1j2c	3.90  (0.29 , 7.58 )	3.61 (0.00, 8.17)
B5b1j3	6.10  (1.56 , 10.78 )	7.50 (0.09, 15.26)
B5b1j4	6.10  (0.96 , 11.42 )	9.42 (0.00, 21.77)
B5b1k	10.61  (2.96 , 18.60 )	10.06 (3.13, 17.27)
B5b1k1	2.59  (0.00 , 5.57 )	2.69 (0.00, 6.47)
B5b2	30.88  (18.89 , 43.44 )	27.92 (19.41, 36.73)
B5b2a	18.96  (14.47 , 23.54 )	18.43 (12.07, 24.99)
B5b2a1	15.11  (9.75 , 20.62 )	17.02 (11.59, 22.60)
B5b2a1a	9.54  (5.09 , 14.10 )	12.53 (6.61, 18.64)
B5b2a1a1	5.35  (3.23 , 7.49 )	7.19 (3.38, 11.08)
B5b2a1a1a	2.59  (0.05 , 5.16 )	3.06 (0.00, 6.73)
B5b2a1a2	7.00  (1.04 , 13.18 )	7.50 (0.00, 21.73)
B5b2a1a3	0.86  (0.00 , 2.55 )	1.15 (0.00, 3.44)
B5b2a1b	8.87  (5.97 , 11.81 )	8.84 (5.24, 12.52)
B5b2a1b1	3.24  (0.00 , 7.56 )	3.24 (0.00, 7.42)
B5b2a1b2	7.89  (2.55 , 13.41 )	6.93 (2.65, 11.33)
B5b2a1b2a	0.86  (0.00 , 2.55 )	0.85 (0.00, 2.41)
B5b2a1b3	9.25  (2.34 , 16.43 )	4.48 (0.27, 8.82)
B5b2a2	11.39  (7.54 , 15.33 )	11.88 (7.22, 16.66)
B5b2a2a	8.16  (4.87 , 11.52 )	8.33 (4.01, 12.76)
B5b2a2a1	5.81  (2.88 , 8.79 )	5.99 (2.09, 9.98)
B5b2a2b	1.29  (0.00 , 3.09 )	1.52 (0.00, 8.75)
B5b2a2c	4.33  (0.00 , 8.96 )	5.80 (0.23, 11.56)
B5b2a2d	4.33  (0.53 , 8.24 )	4.79 (0.00, 10.27)
B5b2a2e	3.46  (0.07 , 6.92 )	4.73 (0.00, 10.08)
B5b2a3-7	19.28  (12.26 , 26.54 )	16.22 (11.58, 20.98)
B5b2a3	18.18  (11.20 , 25.40 )	15.23 (10.86, 19.69)
B5b2a3a	16.25  (10.39 , 22.29 )	14.17 (10.08, 18.35)
B5b2a3a1	14.18  (8.37 , 20.17 )	12.59 (8.29, 17.00)
B5b2a3a1a'b	12.88  (6.98 , 18.97 )	11.10 (5.84, 16.51)
B5b2a3a1a	8.57  (4.04 , 13.22 )	6.93 (3.01, 10.95)
B5b2a3a1a1	3.75  (1.15 , 6.39 )	4.42 (1.52, 7.38)
B5b2a3a1a2	9.44  (2.25 , 16.94 )	4.98 (1.23, 8.83)
B5b2a3a1a2a	5.22  (1.39 , 9.14 )	3.30 (0.78, 5.87)
B5b2a3a1b	8.47  (4.49 , 12.54 )	9.16 (4.09, 14.39)
B5b2a3a1b1	4.46  (1.92 , 7.04 )	5.11 (1.11, 9.21)
B5b2a3a1b2	1.72  (0.00 , 4.13 )	2.13 (0.00, 6.15)
B5b2a3a1b3	5.22  (0.10 , 10.50 )	3.61 (0.00, 8.05)
B5b2a3a1c	3.90  (0.00 , 8.03 )	4.23 (0.00, 8.81)
B5b2a3a1d	6.55  (0.79 , 12.51 )	6.93 (0.14, 14.02)
B5b2a3a2	8.97  (5.15 , 12.89 )	9.93 (5.69, 14.28)
B5b2a3a2a	4.08  (1.45 , 6.77 )	4.67 (0.92, 8.51)
B5b2a3a2b	7.00  (1.04 , 13.18 )	5.86 (1.13, 10.74)
B5b2a3a3	8.79  (2.65 , 15.17 )	9.29 (1.79, 17.13)
B5b2a3a3a	5.22  (0.00 , 11.14 )	4.30 (0.00, 9.63)
B5b2a3a3b	2.59  (0.00 , 6.24 )	2.50 (0.00, 7.28)
B5b2a3b	10.15  (4.63 , 15.85 )	12.53 (7.35, 17.85)
B5b2a3b1	6.28  (3.17 , 9.45 )	8.08 (3.76, 12.50)
B5b2a3b1a	5.22  (0.10 , 10.50 )	5.42 (0.00, 11.17)
B5b2a3b1b	3.90  (0.00 , 8.42 )	3.67 (0.00, 8.11)
B5b2a3b2	2.59  (0.00 , 6.24 )	2.32 (0.00, 5.48)
B5b2a4	4.16  (0.93 , 7.46 )	5.29 (0.00, 11.68)
B5b2a5'6'7	14.07  (8.35 , 19.96 )	14.37 (7.76, 21.20)
B5b2a5	7.22  (1.96 , 12.65 )	8.27 (2.25, 14.50)
B5b2a5a	4.77  (0.51 , 9.15 )	4.36 (0.26, 8.56)
B5b2a5a1	3.90  (0.29 , 7.58 )	2.99 (0.00, 6.67)
B5b2a6	7.00  (1.55 , 12.63 )	6.43 (1.08, 11.96)
B5b2a7	2.59  (0.05 , 5.16 )	2.99 (0.12, 5.93)
B5b2a8	3.90  (0.00 , 8.79 )	5.61 (0.00, 14.45)
B5b2a9	19.39  (11.41 , 27.69 )	16.89 (10.83, 23.14)
B5b2a9a	12.82  (6.72 , 19.11 )	12.46 (6.92, 18.18)
B5b2a9a1	7.35  (3.46 , 11.34 )	8.52 (3.47, 13.73)
B5b2a9a2	2.59  (0.00 , 5.75 )	2.44 (0.00, 5.73)
B5b2a9b	7.35  (2.94 , 11.88 )	7.25 (1.75, 12.93)
B5b2a10	15.17  (7.53 , 23.11 )	14.43 (5.84, 23.42)
B5b2a10a	9.47  (5.38 , 13.67 )	9.48 (3.91, 15.24)
B5b2a10a1	5.22  (0.43 , 10.15 )	5.55 (0.11, 11.17)
B5b2a10a2	5.22  (0.10 , 10.50 )	4.98 (0.00, 10.46)
B5b2b	30.08  (20.52 , 40.01 )	25.13 (16.85, 33.70)
B5b2b1	25.79  (16.09 , 35.90 )	21.21 (12.95, 29.79)
B5b2b1a	6.55  (0.79 , 12.51 )	4.86 (0.00, 10.08)
B5b2b1b	16.88  (8.20 , 25.95 )	18.16 (9.65, 27.04)
B5b2b1b1	6.55  (0.79 , 12.51 )	6.43 (0.48, 12.60)
B5b2b1b2	5.22  (0.10 , 10.50 )	6.43 (0.13, 12.98)
B5b2b2	5.22  (0.10 , 10.50 )	5.17 (0.00, 12.83)
B5b3	13.08  (7.10 , 19.26 )	15.03 (2.26, 28.69)
B5b3a	9.40  (4.24 , 14.71 )	10.13 (0.00, 25.23)
B5b3a1	7.44  (3.28 , 11.71 )	6.11 (1.49, 10.87)
B5b3a2	2.59  (0.00 , 6.24 )	2.13 (0.00, 5.54)
B5b3b	6.28  (3.44 , 9.17 )	7.31 (3.14, 11.59)
B5b3b1	4.33  (0.53 , 8.24 )	4.61 (0.03, 9.32)
B5b4	15.37  (9.32 , 21.61 )	15.82 (9.42, 22.44)
B5b4a	8.34  (3.05 , 13.80 )	7.31 (0.00, 15.32)
B5b4a1	6.10  (1.56 , 10.78 )	4.86 (0.87, 8.95)
B5b4b	7.22  (2.54 , 12.03 )	9.61 (2.58, 16.94)
B5b4c	13.37  (5.23 , 21.87 )	13.25 (7.06, 19.65)
B5b5	5.98  (2.51 , 9.51 )	7.82 (1.34, 14.56)
B5b5a	2.59  (0.00 , 6.24 )	3.43 (0.00, 7.98)
R11'B6	44.96  (30.81 , 59.73 )	50.31 (29.39, 72.50)
B6	28.73  (16.75 , 41.30 )	32.31 (17.25, 48.25)
B6a	20.15  (13.27 , 27.26 )	23.20 (12.67, 34.23)
B6a1'2	19.90  (12.52 , 27.55 )	21.62 (9.66, 34.26)
B6a1	13.51  (7.83 , 19.36 )	14.83 (6.59, 23.43)
B6a1a	8.23  (1.77 , 14.94 )	8.65 (1.54, 16.07)
B6a1a1	5.98  (0.89 , 11.23 )	6.36 (0.07, 12.92)
B6a1a1a	2.59  (0.00 , 6.44 )	3.06 (0.00, 11.00)
B6a1a1b	1.29  (0.00 , 3.09 )	2.32 (0.00, 7.34)
B6a1b	5.22  (2.01 , 8.49 )	6.24 (1.85, 10.74)
B6a1c	10.61  (3.71 , 17.79 )	11.55 (3.59, 19.88)
B6a1c1	3.24  (0.40 , 6.14 )	3.49 (0.01, 7.05)
B6a1c2	6.55  (0.79 , 12.51 )	7.88 (0.00, 16.31)
B6a2	13.72  (7.18 , 20.48 )	17.22 (7.88, 27.02)
B6a2a	11.53  (3.86 , 19.53 )	11.88 (3.29, 20.89)
B6a3	12.95  (6.09 , 20.07 )	14.70 (8.08, 21.55)
B6a3a	2.73  (1.37 , 4.10 )	4.73 (1.70, 7.82)
B6a3b	2.59  (0.00 , 6.55 )	2.56 (0.00, 7.34)
B6a4	10.61  (3.18 , 18.36 )	12.59 (2.76, 22.98)
R11	20.78  (15.39 , 26.31 )	23.82 (16.50, 31.37)
R11a	17.99  (9.73 , 26.59 )	18.03 (10.28, 26.08)
R11a1'2	17.99  (8.44 , 27.99 )	15.56 (9.04, 22.30)
R11a1	15.78  (7.10 , 24.85 )	13.25 (7.93, 18.72)
R11a1a	13.37  (6.01 , 21.02 )	11.55 (6.90, 16.32)
R11a1a1	11.46  (4.87 , 18.30 )	10.19 (6.07, 14.41)
R11a1a1a	9.74  (3.01 , 16.74 )	8.84 (3.90, 13.93)
R11a1a1a1	4.63  (2.38 , 6.91 )	4.86 (2.07, 7.70)
R11a1a2	4.55  (1.17 , 8.02 )	4.36 (0.15, 8.69)
R11a2	5.22  (1.03 , 9.52 )	5.86 (0.00, 13.42)
R11a3	8.97  (2.30 , 15.92 )	14.70 (6.71, 23.02)
R11a3a	1.93  (0.00 , 4.16 )	3.86 (0.00, 9.81)
R11a4	6.70  (1.66 , 11.89 )	8.84 (2.08, 15.88)
R11a4a	5.98  (2.08 , 9.97 )	5.92 (1.55, 10.42)
R11a4a1	2.59  (0.00 , 5.57 )	2.32 (0.00, 5.23)
R11b	18.07  (12.83 , 23.45 )	19.31 (13.69, 25.08)
R11b1	16.04  (11.15 , 21.05 )	17.89 (12.19, 23.76)
R11b1a'd	13.83  (6.82 , 21.12 )	16.09 (7.67, 24.88)
R11b1a	10.44  (4.99 , 16.06 )	13.31 (5.64, 21.32)
R11b1a1	7.27  (3.92 , 10.69 )	8.97 (3.17, 14.97)
R11b1a1a	7.55  (2.82 , 12.42 )	5.48 (1.60, 9.46)
R11b1a2	4.33  (0.00 , 8.96 )	5.80 (0.00, 12.84)
R11b1d	2.59  (0.00 , 6.24 )	2.44 (0.00, 6.97)
R11b1b	13.27  (8.46 , 18.20 )	15.69 (10.43, 21.10)
R11b1b1	9.40  (4.24 , 14.71 )	13.25 (7.30, 19.38)
R11b1b1a	3.63  (0.58 , 6.75 )	5.11 (0.00, 12.12)
R11b1b2	5.88  (0.59 , 11.35 )	8.46 (1.60, 15.61)
R11b1b3	3.46  (0.52 , 6.45 )	4.11 (0.62, 7.68)
R11b1b4	4.33  (0.34 , 8.43 )	3.92 (0.08, 7.87)
R11b1b4a	1.93  (0.00 , 4.16 )	2.26 (0.00, 5.91)
R11b1c	12.29  (4.15 , 20.81 )	13.77 (6.20, 21.66)
R11b1c1	7.26  (3.08 , 11.55 )	7.00 (2.35, 11.78)
R11b1c1a	4.95  (1.51 , 8.47 )	4.92 (1.65, 8.26)
R11b1c1b	4.69  (0.99 , 8.47 )	4.67 (0.57, 8.88)
R11b2'3'4	15.95  (9.97 , 22.13 )	16.02 (8.73, 23.59)
R11b2	14.17  (7.18 , 21.42 )	13.71 (7.00, 20.66)
R11b2a	9.93  (3.37 , 16.74 )	7.69 (2.54, 13.01)
R11b2a1	3.90  (0.00 , 8.42 )	3.55 (0.00, 7.73)
R11b3	4.33  (0.00 , 8.96 )	4.05 (0.00, 15.52)
R11b3a	2.59  (0.00 , 6.24 )	2.19 (0.00, 6.46)
R11b4	5.22  (0.10 , 10.50 )	5.36 (0.00, 11.36)
R11b5	11.99  (3.84 , 20.51 )	15.82 (8.41, 23.52)
R11b5a	4.33  (0.00 , 8.96 )	5.36 (0.00, 13.02)
R11b6	5.22  (0.10 , 10.50 )	8.91 (0.00, 21.09)
R11b7	4.33  (0.00 , 8.96 )	6.93 (0.00, 18.72)
R11c	11.16  (5.36 , 17.15 )	11.62 (0.00, 28.75)
R11c1	8.28  (3.22 , 13.49 )	8.65 (0.00, 20.28)
R11c1a	6.82  (2.54 , 11.20 )	8.65 (2.98, 14.51)
R11d	7.89  (2.09 , 13.90 )	7.31 (2.29, 12.49)
R11d1	6.10  (0.96 , 11.42 )	5.42 (1.30, 9.65)
R11d1a	3.90  (0.00 , 8.42 )	3.43 (0.00, 6.99)
R11e	14.30  (6.02 , 22.95 )	15.76 (5.87, 26.16)
R9	51.01  (37.57 , 64.96 )	50.97 (38.78, 63.58)
F	46.21  (34.51 , 58.32 )	47.79 (36.46, 59.49)
F1	33.51  (23.09 , 44.34 )	30.74 (4.44, 60.00)
F1a'c'f'h'i'j	22.35  (15.23 , 29.70 )	17.02 (10.77, 23.46)
F1a	19.57  (12.75 , 26.62 )	15.38 (11.07, 19.77)
F1a1'4'5'6'7	17.51  (11.39 , 23.82 )	13.86 (9.37, 18.46)
F1a1	14.56  (10.92 , 18.27 )	12.02 (10.00, 14.05)
F1a1a	13.41  (7.72 , 19.28 )	11.21 (8.22, 14.26)
F1a1a1	10.67  (8.48 , 12.89 )	10.25 (8.03, 12.49)
F1a1a1a	8.91  (7.10 , 10.75 )	9.17 (7.08, 11.29)
F1a1a1a1	9.93  (4.20 , 15.85 )	4.44 (0.61, 8.36)
F1a1a1a1a	9.25  (2.34 , 16.43 )	3.29 (0.33, 6.31)
F1a1a1a2	8.19  (4.42 , 12.05 )	7.93 (4.67, 11.26)
F1a1a1a3	5.22  (1.03 , 9.52 )	5.92 (0.69, 11.33)
F1a1a1a4	10.22  (1.19 , 19.73 )	7.20 (2.03, 12.54)
F1a1a1a5	3.11  (0.00 , 6.70 )	2.69 (0.00, 6.13)
F1a1a1a6	9.93  (1.78 , 18.47 )	5.59 (1.32, 9.98)
F1a1a1a7	2.91  (0.00 , 7.55 )	3.56 (0.00, 9.11)
F1a1a1a8	3.46  (0.00 , 7.71 )	4.98 (0.00, 23.86)
F1a1a1a9	3.90  (0.00 , 8.42 )	4.98 (0.00, 10.36)
F1a1a1b	9.52  (2.28 , 17.06 )	6.48 (2.07, 11.01)
F1a1a1b1	3.90  (0.00 , 8.42 )	2.91 (0.00, 9.43)
F1a1a1b1a	2.59  (0.00 , 5.57 )	1.82 (0.00, 8.30)
F1a1a1c	7.17  (2.25 , 12.25 )	6.92 (2.29, 11.69)
F1a1a1c1	5.46  (1.46 , 9.55 )	4.82 (1.30, 8.42)
F1a1a1c1a	4.33  (0.00 , 9.13 )	3.56 (0.38, 6.80)
F1a1a1c1a1	1.55  (0.00 , 3.31 )	1.82 (0.00, 4.38)
F1a1a1d	10.54  (6.12 , 15.07 )	9.23 (6.59, 11.90)
F1a1a1d1	5.41  (0.30 , 10.68 )	4.76 (0.00, 14.19)
F1a1a1d1a	2.99  (1.03 , 4.97 )	3.50 (0.00, 7.18)
F1a1a1d1a1	2.59  (0.00 , 6.44 )	1.82 (0.00, 7.86)
F1a1a1d1a2	5.22  (0.10 , 10.50 )	2.63 (0.00, 6.18)
F1a1a1d2	6.01  (2.87 , 9.22 )	6.70 (2.71, 10.79)
F1a1a1d2a	2.59  (0.00 , 5.57 )	3.07 (0.00, 8.60)
F1a1a1d3	4.33  (0.00 , 9.59 )	4.60 (0.00, 14.24)
F1a1a1e	8.13  (1.38 , 15.16 )	6.53 (0.76, 12.52)
F1a1a1e1	3.33  (1.18 , 5.52 )	4.11 (1.55, 6.70)
F1a1a1e1a	2.85  (0.75 , 4.97 )	3.07 (0.43, 5.76)
F1a1a1e1b	3.46  (0.07 , 6.92 )	2.74 (0.11, 5.43)
F1a1a1f	1.61  (0.20 , 3.04 )	4.11 (0.00, 9.45)
F1a1a1g	10.06  (2.70 , 17.75 )	8.89 (2.60, 15.42)
F1a1a1g1	3.90  (0.00 , 8.70 )	4.60 (0.25, 9.08)
F1a1a1g1a	1.10  (0.00 , 2.36 )	2.04 (0.00, 4.28)
F1a1a1g2	5.22  (0.10 , 10.50 )	4.05 (0.00, 9.40)
F1a1a1h	6.10  (1.56 , 10.78 )	5.26 (0.47, 10.20)
F1a1a1i	4.16  (0.00 , 9.14 )	5.10 (0.10, 10.25)
F1a1a1i1	1.43  (0.00 , 2.93 )	2.26 (0.00, 5.25)
F1a1a1j	6.05  (3.32 , 8.82 )	6.70 (3.57, 9.90)
F1a1a1j1	2.59  (0.32 , 4.89 )	2.96 (0.00, 6.30)
F1a1a1j2	5.22  (0.10 , 10.50 )	2.80 (0.00, 7.00)
F1a1a1k	6.95  (3.51 , 10.46 )	6.20 (0.64, 11.95)
F1a1a1k1	5.51  (1.76 , 9.35 )	4.27 (0.00, 9.29)
F1a1a1k1a	5.88  (0.01 , 11.97 )	3.12 (0.00, 7.78)
F1a1a1k1a1	2.59  (0.00 , 5.57 )	1.55 (0.00, 5.51)
F1a1a1l	1.55  (0.00 , 3.31 )	2.26 (0.00, 5.80)
F1a1a1m	5.22  (0.10 , 10.50 )	4.00 (0.00, 9.79)
F1a1a1n	2.26  (0.00 , 6.15 )	3.83 (0.00, 11.29)
F1a1a1n1	0.43  (0.00 , 0.91 )	1.88 (0.00, 5.63)
F1a1a1o-t	7.95  (5.55 , 10.38 )	8.72 (5.33, 12.18)
F1a1a1o	1.72  (0.00 , 4.13 )	1.71 (0.00, 5.68)
F1a1a1p	9.70  (2.11 , 17.63 )	6.92 (2.72, 11.24)
F1a1a1q	5.51  (1.68 , 9.44 )	5.59 (1.42, 9.87)
F1a1a1q1	2.59  (0.05 , 5.16 )	3.40 (0.00, 8.39)
F1a1a1q2	2.59  (0.00 , 5.75 )	2.80 (0.00, 7.99)
F1a1a1r	2.59  (0.00 , 6.24 )	2.85 (0.00, 7.28)
F1a1a1s	5.22  (0.39 , 10.19 )	5.54 (0.00, 13.30)
F1a1a1t	4.46  (0.60 , 8.42 )	5.04 (0.47, 9.75)
F1a1a1t1	1.29  (0.00 , 3.09 )	1.93 (0.00, 5.36)
F1a1a1t2	2.59  (0.00 , 6.24 )	1.98 (0.00, 5.30)
F1a1a2	6.88  (2.35 , 11.54 )	7.48 (1.67, 13.51)
F1a1a2a	2.59  (0.00 , 6.24 )	2.15 (0.00, 6.45)
F1a1b	8.33  (2.80 , 14.04 )	7.82 (0.00, 16.48)
F1a1b1	5.91  (2.38 , 9.51 )	5.37 (2.37, 8.43)
F1a1b1a	5.79  (1.64 , 10.04 )	4.33 (1.66, 7.04)
F1a1b1a1	4.04  (0.55 , 7.62 )	3.23 (0.00, 6.58)
F1a1b1a1a	2.59  (0.00 , 5.31 )	2.04 (0.00, 4.82)
F1a1c	11.39  (9.24 , 13.56 )	10.64 (8.87, 12.44)
