# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M7c1a2	11.86  (5.79 , 18.14 )	12.09 (5.18, 19.28)
M7c1a2a	9.14  (3.38 , 15.10 )	8.94 (2.26, 15.89)
M7c1a2a1	6.67  (2.67 , 10.77 )	5.90 (1.87, 10.04)
M7c1a2a1a	5.22  (0.41 , 10.17 )	4.35 (0.80, 7.99)
M7c1a2a1a1	3.46  (0.07 , 6.92 )	2.36 (0.00, 5.04)
M7c1a2a1b	6.10  (0.00 , 12.51 )	4.24 (0.03, 8.56)
M7c1a2b	3.75  (1.55 , 5.98 )	4.18 (0.85, 7.58)
M7c1a3	9.94  (6.15 , 13.80 )	13.72 (5.94, 21.83)
M7c1a3a	7.27  (3.96 , 10.64 )	9.41 (3.39, 15.66)
M7c1a3a1	3.90  (0.77 , 7.09 )	6.02 (0.00, 14.16)
M7c1a3a2	5.22  (0.39 , 10.19 )	6.54 (0.00, 13.52)
M7c1a3a3	5.22  (0.10 , 10.50 )	4.24 (0.00, 9.95)
M7c1a3b	5.79  (3.60 , 8.01 )	7.42 (4.24, 10.65)
M7c1a3b1	3.46  (0.00 , 7.71 )	4.41 (0.20, 8.73)
M7c1a3b2	5.88  (0.91 , 11.02 )	5.90 (1.10, 10.86)
M7c1a3b2a	3.46  (0.07 , 6.92 )	2.92 (0.06, 5.84)
M7c1a3b3	1.72  (0.03 , 3.42 )	2.02 (0.00, 4.47)
M7c1a3b4	2.96  (0.44 , 5.52 )	3.38 (0.00, 7.56)
M7c1a3c	7.68  (1.85 , 13.73 )	9.71 (0.24, 19.72)
M7c1a3c1	5.22  (0.89 , 9.66 )	5.27 (0.00, 12.43)
M7c1a3c1a	2.59  (0.79 , 4.40 )	3.49 (0.29, 6.77)
M7c1a3c1b	2.59  (0.00 , 6.44 )	3.38 (0.00, 9.64)
M7c1a3d	4.33  (0.17 , 8.61 )	3.66 (0.00, 7.51)
M7c1a4	14.08  (5.32 , 23.26 )	17.88 (12.50, 23.40)
M7c1a4a	6.27  (1.16 , 11.55 )	6.48 (2.66, 10.40)
M7c1a4a1	3.78  (2.39 , 5.18 )	4.98 (3.08, 6.91)
M7c1a4a1a	5.66  (0.00 , 12.11 )	3.66 (0.13, 7.28)
M7c1a4a1a1	1.03  (0.00 , 2.47 )	1.29 (0.00, 3.28)
M7c1a4b	5.55  (1.53 , 9.67 )	9.06 (0.07, 18.55)
M7c1a4c	9.25  (2.34 , 16.43 )	10.90 (3.47, 18.65)
M7c1a5	10.22  (6.43 , 14.09 )	10.96 (7.14, 14.85)
M7c1a5a	4.63  (1.72 , 7.59 )	4.64 (1.30, 8.05)
M7c1a5b	2.59  (0.00 , 5.75 )	3.61 (0.00, 8.72)
M7c1a5c	6.82  (1.07 , 12.77 )	8.35 (3.03, 13.85)
M7c1a5c1	4.55  (0.00 , 9.29 )	5.62 (0.00, 11.96)
M7c1a6	2.59  (0.32 , 4.89 )	3.15 (0.00, 9.06)
M7c1a7	11.67  (3.85 , 19.83 )	12.63 (5.81, 19.72)
M7c1a7a	3.98  (2.55 , 5.42 )	6.02 (3.21, 8.88)
M7c1a7b	4.55  (0.00 , 10.30 )	5.96 (0.00, 13.98)
M7c1a8	6.43  (3.41 , 9.51 )	8.41 (1.76, 15.34)
M7c1a9	8.88  (3.47 , 14.45 )	10.60 (5.20, 16.16)
M7c1a9a	3.24  (0.00 , 7.14 )	3.38 (0.00, 9.76)
M7c1a9b	6.55  (0.79 , 12.51 )	4.12 (0.00, 8.44)
M7c1b	20.02  (10.91 , 29.53 )	15.36 (10.29, 20.57)
M7c1b1	3.57  (1.10 , 6.08 )	5.27 (0.92, 9.74)
M7c1b2	16.62  (8.87 , 24.67 )	13.06 (8.04, 18.21)
M7c1b2a	12.38  (5.82 , 19.18 )	11.61 (4.94, 18.54)
M7c1b2a1	3.46  (1.86 , 5.07 )	5.04 (2.35, 7.77)
M7c1b2a2	5.63  (3.05 , 8.25 )	5.73 (2.48, 9.05)
M7c1b2b	11.57  (5.75 , 17.58 )	9.77 (5.19, 14.47)
M7c1b2b1	2.91  (0.62 , 5.24 )	3.66 (0.45, 6.94)
M7c1b2b2-7	9.92  (5.59 , 14.36 )	8.82 (6.42, 11.27)
M7c1b2b2	6.18  (2.59 , 9.86 )	6.37 (3.55, 9.24)
M7c1b2b2a	3.24  (1.03 , 5.48 )	3.72 (0.95, 6.54)
M7c1b2b3	3.93  (2.48 , 5.40 )	5.10 (3.08, 7.14)
M7c1b2b3a	2.59  (0.00 , 5.75 )	2.47 (0.00, 8.35)
M7c1b2b4	3.90  (0.77 , 7.09 )	4.69 (0.04, 9.49)
M7c1b2b5	5.22  (0.39 , 10.19 )	6.25 (1.66, 10.98)
M7c1b2b6	9.25  (3.39 , 15.30 )	7.77 (4.92, 10.66)
M7c1b2b7	3.46  (0.07 , 6.92 )	3.66 (0.00, 8.20)
