edge_id	parent_node	child_node	parent_label	child_label	child_is_tip	n_descendant_tip	descendant_tip_representative	edge_length_analysis	edge_length_input_units	edge_was_floored	branch_scale_factor
202	311	312	Node311	Node312	FALSE	6	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b;GSRD008157A01_BB1_01_D1a1a1a1b	1.47044191127166	6.6e-05	FALSE	4.48844660194175e-05
203	312	313	Node312	Node313	FALSE	5	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b;GSRD008157A01_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
204	313	99	Node313	GSRD008157A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008157A01_BB1_01_D1a1a1a1b	1.96058921502888	8.8e-05	FALSE	4.48844660194175e-05
205	313	314	Node313	Node314	FALSE	4	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b;WDC11806290049_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
206	314	315	Node314	Node315	FALSE	2	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b	0.82433864722805	3.7e-05	FALSE	4.48844660194175e-05
207	315	100	Node315	GSRD008057A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD008057A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
208	315	101	Node315	GSRD008057A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008057A01_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
209	314	316	Node314	Node316	FALSE	2	WDC11806290049_D1a1a1a1b;WDC11806290077_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
210	316	102	Node316	WDC11806290049_D1a1a1a1b	TRUE	1	WDC11806290049_D1a1a1a1b	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
211	316	103	Node316	WDC11806290077_D1a1a1a1b	TRUE	1	WDC11806290077_D1a1a1a1b	0.512426726655275	2.3e-05	FALSE	4.48844660194175e-05
212	312	104	Node312	WDC11806290062_D1a1a1a1b	TRUE	1	WDC11806290062_D1a1a1a1b	0.53470614955333	2.4e-05	FALSE	4.48844660194175e-05
213	311	317	Node311	Node317	FALSE	9	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b	1.13625056780083	5.1e-05	FALSE	4.48844660194175e-05
214	317	105	Node317	GSRD020389A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD020389A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
215	317	318	Node317	Node318	FALSE	8	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
216	318	319	Node318	Node319	FALSE	3	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008171A00_BB1_01_D1a1a1a1b;GSRD008171A01_BB1_01_D1a1a1a1b	0.334191343470831	1.5e-05	FALSE	4.48844660194175e-05
217	319	320	Node319	Node320	FALSE	2	GSRD008171A00_BB1_01_D1a1a1a1b;GSRD008171A01_BB1_01_D1a1a1a1b	1.47044191127166	6.6e-05	FALSE	4.48844660194175e-05
218	320	106	Node320	GSRD008171A00_BB1_01_D1a1a1a1b	TRUE	1	GSRD008171A00_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
219	320	107	Node320	GSRD008171A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008171A01_BB1_01_D1a1a1a1b	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
220	319	108	Node319	GSRD008047A01_BB1_01_D1a1a1a1b	TRUE	1	GSRD008047A01_BB1_01_D1a1a1a1b	0.646103264043607	2.9e-05	FALSE	4.48844660194175e-05
