simulation_id	event_id	edge_id	parent_node	child_node	parent_label	child_label	event_order_on_edge	from_state	to_state	edge_length_analysis	distance_from_parent_analysis	distance_to_child_analysis	relative_position_from_parent	edge_length_input_units	distance_from_parent_input_units	distance_to_child_input_units	n_descendant_tip	descendant_tip_representative	edge_was_floored
2	sim0002_edge0014_event01	14	215	7	Node215	HRR1385301.Y.bam__	1	GansuQinghai	Plateau	2.22794228980554	0.159700226510247	2.06824206329529	0.0716805939009245	1e-04	7.16805939009245e-06	9.28319406099076e-05	1	HRR1385301.Y.bam__	FALSE
2	sim0002_edge0016_event01	16	216	8	Node216	HRR1385290.Y.bam__	1	GansuQinghai	Plateau	2.22794228980554	1.75504669060561	0.47289559919993	0.787743335469787	1e-04	7.87743335469787e-05	2.12256664530213e-05	1	HRR1385290.Y.bam__	FALSE
2	sim0002_edge0018_event01	18	217	9	Node217	HRR1295204_Y.bam__	1	GansuQinghai	Plateau	2.22794228980554	0.973138526805481	1.25480376300006	0.436788031385866	1e-04	4.36788031385866e-05	5.63211968614134e-05	1	HRR1295204_Y.bam__	FALSE
2	sim0002_edge0018_event02	18	217	9	Node217	HRR1295204_Y.bam__	2	Plateau	SouthWest	2.22794228980554	1.52647852147964	0.701463768325902	0.685151733267235	1e-04	6.85151733267235e-05	3.14848266732765e-05	1	HRR1295204_Y.bam__	FALSE
2	sim0002_edge0020_event01	20	218	219	Node218	Node219	1	GansuQinghai	Plateau	9.4464753087755	1.18300539793484	8.26346991084066	0.125232466000929	0.000424	5.30985655843938e-05	0.000370901434415606	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0020_event02	20	218	219	Node218	Node219	2	Plateau	SouthWest	9.4464753087755	2.08989202792229	7.35658328085321	0.221235112527192	0.000424	9.38036877115294e-05	0.000330196312288471	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0020_event03	20	218	219	Node218	Node219	3	SouthWest	GansuQinghai	9.4464753087755	8.18733513496928	1.25914017380621	0.866707937865829	0.000424	0.000367484165655112	5.65158343448884e-05	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
2	sim0002_edge0026_event01	26	222	223	Node222	Node223	1	GansuQinghai	Plateau	5.52529687871774	1.97749660592143	3.54780027279632	0.357898706499975	0.000248	8.87588792119937e-05	0.000159241120788006	4	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0026_event02	26	222	223	Node222	Node223	2	Plateau	SouthWest	5.52529687871774	5.49190704966155	0.0333898290561905	0.993956916743279	0.000248	0.000246501315352333	1.49868464766674e-06	4	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0033_event01	33	222	226	Node222	Node226	1	GansuQinghai	Plateau	1.02485345331055	0.0377271691896254	0.987126284120924	0.0368122574674034	4.6e-05	1.69336384350055e-06	4.43066361564994e-05	4	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009056A00_TS0_00_D1a1a1a1a1b1;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
2	sim0002_edge0035_event01	35	227	16	Node227	GSRD009056A00_TS0_00_D1a1a1a1a1b1	1	Plateau	SouthWest	5.03514957496052	3.87567491437739	1.15947466058313	0.769723889365844	0.000226	0.000173957598996681	5.20424010033192e-05	1	GSRD009056A00_TS0_00_D1a1a1a1a1b1	FALSE
2	sim0002_edge0036_event01	36	227	17	Node227	YSW00402A00_BB1_01_D1a1a1a1a1b1	1	Plateau	SouthWest	2.4507365187861	2.31949141029935	0.131245108486742	0.946446667162837	0.00011	0.000104109133387912	5.89086661208794e-06	1	YSW00402A00_BB1_01_D1a1a1a1a1b1	FALSE
