source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b1b1a1	15	3.17				2-5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2	146	14.26	7.79	20.74		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2	146	16.1	9.96	22.24		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2	146	23.59	9.66	37.51		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2	146	40.52	27.05	68.56		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2	146	23.62				19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a	29	13.75	4.85	22.66		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a	29	15.06	7.39	22.73		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a	29	25.0	5.52	44.48		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a	29	23.04	13.96	35.99		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2a	29	19.21				19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a1	6	1.76	-0.23	3.76		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a1	6	1.72	0.03	3.41		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a1	6	1.31	-1.26	3.89		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a1	6	2.52	0.02	8.23		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2a1	6	1.83				<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a2	22	8.5	2.38	14.63		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a2	22	11.04	4.38	17.71		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a2	22	15.4	1.99	28.81		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a2	22	18.67	10.36	30.04		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2a2	22	13.4				11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a2a	18	5.29	2.89	7.7		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a2a	18	7.04	3.33	10.74		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a2a	18	7.88	3.5	12.26		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a2a	18	16.06	7.42	27.81		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2a2a	18	9.07				5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a2a1	11	5.46	2.19	8.72		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a2a1	11	5.87	3.07	8.68		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a2a1	11	7.16	1.55	12.78		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a2a1	11	10.07	3.58	19.58		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2a2a1	11	7.14				5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2a2b	3	4.71	-0.94	10.36		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2a2b	3	4.31	-0.16	8.78		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2a2b	3	7.88	-3.63	19.39		5-11.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2a2b	3	5.49	0.78	14.31		5-11.5 kya
