source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2d		7.0	0.0	15.45			yes	10	medium	rho_direct	4.9513	2.5902	7.3482	4.9513	2.5902	7.3482	2.0487	2.0487	2.0487	2.0487	41.377012	41.377012	rho	2.0487	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2d1		1.84	0.0	4.27			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2d1		2.73	0.0	6.12			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2e		13.83	7.09	20.83			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2e		14.84	8.64	21.24			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2e1		6.55	2.46	10.75			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2e1		8.2	1.76	14.9			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G2b2e2		3.9	0.0	8.42			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G2b2e2		3.03	0.0	9.4			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3		20.26	13.07	27.7			yes	462	high	rho_direct	25.5084	23.9718	27.0549	25.5084	23.9718	27.0549	-5.2484	-5.2484	5.2484	5.2484	20.575183	20.575183	rho	5.2484	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3		23.41	11.69	35.77			yes	462	high	rho_direct	25.5084	23.9718	27.0549	25.5084	23.9718	27.0549	-2.0984	-2.0984	2.0984	2.0984	8.22631	8.22631	rho	2.0984	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a		17.37	10.84	24.12			yes	334	high	rho_direct	21.1901	19.5952	22.7965	21.1901	19.5952	22.7965	-3.8201	-3.8201	3.8201	3.8201	18.027758	18.027758	rho	3.8201	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a		15.96	6.38	26.02			yes	334	high	rho_direct	21.1901	19.5952	22.7965	21.1901	19.5952	22.7965	-5.2301	-5.2301	5.2301	5.2301	24.681809	24.681809	rho	5.2301	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a1'4'5		12.97	6.39	19.79			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a1'4'5		10.24	5.78	14.81			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a1		7.71	2.67	12.91			yes	51	high	single_child_interpolation	12.1746	9.5182	14.8698	15.0061	12.565	17.4827	-4.4646	-7.2961	4.4646	7.2961	36.671431	48.620894	rho	4.4646	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a1		6.69	3.53	9.91			yes	51	high	single_child_interpolation	12.1746	9.5182	14.8698	15.0061	12.565	17.4827	-5.4846	-8.3161	5.4846	8.3161	45.049529	55.41813	rho	5.4846	yes	no	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a1a		5.42	2.94	7.94			yes	41	medium	rho_direct	10.4097	7.2522	13.6243	10.4097	7.2522	13.6243	-4.9897	-4.9897	4.9897	4.9897	47.933178	47.933178	rho	4.9897	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a1a		5.94	3.03	8.9			yes	41	medium	rho_direct	10.4097	7.2522	13.6243	10.4097	7.2522	13.6243	-4.4697	-4.4697	4.4697	4.4697	42.937837	42.937837	rho	4.4697	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a1a1		6.1	1.56	10.78			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a1a1		3.95	0.96	7.0			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a4		2.59	0.05	5.16			yes	6	low	rho_fallback_no_desc	7.4428	4.9457	9.9777	7.4428	4.9457	9.9777	-4.8528	-4.8528	4.8528	4.8528	65.201268	65.201268	rho	4.8528	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a4		3.28	0.0	7.42			yes	6	low	rho_fallback_no_desc	7.4428	4.9457	9.9777	7.4428	4.9457	9.9777	-4.1628	-4.1628	4.1628	4.1628	55.930564	55.930564	rho	4.1628	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a5		5.66	2.12	9.28			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a5		6.5	2.14	10.98			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2		12.73	8.43	17.14			yes	185	high	rho_direct	17.5181	15.0858	19.9794	17.5181	15.0858	19.9794	-4.7881	-4.7881	4.7881	4.7881	27.332302	27.332302	rho	4.7881	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2		10.94	7.57	14.38			yes	185	high	rho_direct	17.5181	15.0858	19.9794	17.5181	15.0858	19.9794	-6.5781	-6.5781	6.5781	6.5781	37.550305	37.550305	rho	6.5781	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a-e		12.63	8.69	16.66			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a-e		10.3	6.82	13.85			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a		9.49	4.92	14.19			yes	23	medium	single_child_interpolation	8.7145	4.2281	13.3214	9.3622	6.9398	11.8193	0.7755	0.1278	0.7755	0.1278	8.898962	1.365064	ml	0.1278	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a		8.33	3.44	13.36			yes	23	medium	single_child_interpolation	8.7145	4.2281	13.3214	9.3622	6.9398	11.8193	-0.3845	-1.0322	0.3845	1.0322	4.412187	11.025186	rho	0.3845	yes	yes	yes	no
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a1		3.17	0.83	5.54			yes	3	low	rho_fallback_no_desc	1.7185	0.0342	3.4224	1.7185	0.0342	3.4224	1.4515	1.4515	1.4515	1.4515	84.463195	84.463195	rho	1.4515	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a1		4.02	0.31	7.81			yes	3	low	rho_fallback_no_desc	1.7185	0.0342	3.4224	1.7185	0.0342	3.4224	2.3015	2.3015	2.3015	2.3015	133.924935	133.924935	rho	2.3015	yes	yes	yes	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a2		5.22	0.0	10.79			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a2		4.08	0.0	8.61			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a3		5.22	0.1	10.5			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a3		5.56	0.4	10.9			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2a4		3.9	0.0	8.42			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	G3a2a4		4.76	0.0	10.82			no																					
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	G3a2b		9.93	5.6	14.36			yes	3	low	rho_fallback_no_desc	10.6101	10.6101	10.6101	10.6101	10.6101	10.6101	-0.6801	-0.6801	0.6801	0.6801	6.40993	6.40993	rho	0.6801	yes	yes	yes	no
